initial_mode,states,Wind,GF,GFPRED,GFACT,kill_switch,modes,throttle,max_deviation,max_altitude,duration,final_landing_state,freefall_occurred,mission_complete
OFFBOARD,Flying,None,Yes,Yes,Warning,No,OFFBOARD,None,0.07988992000000003,12.811138,81.0,True,False,True
AUTO.LAND,Arm,None,No,None,None,No,OFFBOARD,260.0,34.620632900000004,0.15481642,76.0,True,False,False
AUTO.LAND,Arm,None,No,None,None,No,AUTO.LOITER,None,0.10119740000000002,12.862433,81.0,True,False,True
OFFBOARD,Takeoff,None,No,None,None,No,OFFBOARD,None,0.15948981,12.639941,70.0,True,False,True
OFFBOARD,Flying,None,No,None,None,No,OFFBOARD,260.0,0.11953860000000005,12.647329,74.0,True,False,False
AUTO.LAND,Land,None,No,None,None,No,STABILIZED,None,0.09695119000000002,12.846035,79.0,True,True,False
AUTO.LAND,Arm,None,No,None,None,No,AUTO.RTL,615.0,33.538322968,0.00028333967,83.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,STABILIZED,0.0,33.548020391,2.0598047,24.0,True,True,False
OFFBOARD,Flying,None,No,None,None,No,OFFBOARD,0.0,0.10379913000000002,12.861111,81.0,True,False,True
OFFBOARD,Hover,None,No,None,None,No,STABILIZED,None,14.87095924,12.537965,35.0,True,True,False
OFFBOARD,Takeoff,None,No,None,None,No,POSCTL,None,0.09523579999999998,12.859911,81.0,True,False,True
OFFBOARD,Hover,None,No,None,None,No,ALTCTL,0.0,14.8631751,12.533633,49.0,True,False,False
AUTO.LAND,Land,None,No,None,None,No,OFFBOARD,None,0.08034500000000011,12.828121,81.0,True,False,True
OFFBOARD,Hover,None,No,None,None,No,OFFBOARD,None,0.14219138000000003,12.573796,73.0,True,False,True
OFFBOARD,Takeoff,None,No,None,None,No,STABILIZED,None,0.07886210000000005,12.581913,73.0,True,False,True
AUTO.LAND,Arm,None,No,None,None,No,STABILIZED,None,0.18438800000000022,12.400081,73.0,True,False,True
AUTO.LAND,Arm,None,No,None,None,No,AUTO.RTL,None,0.07768900000000123,12.50678,73.0,True,False,True
OFFBOARD,Flying,None,Yes,Yes,Land mode,No,STABILIZED,None,24.590079000000003,4.5170774,25.0,True,True,False
OFFBOARD,Flying,None,Yes,Yes,Hold mode,No,ALTCTL,550.0,23.511885,4.818543,37.0,True,False,False
AUTO.LAND,Disarm,None,No,None,None,No,AUTO.LOITER,None,0.08061361000000003,12.8084755,81.0,True,False,True
AUTO.LAND,Land,None,No,None,None,No,AUTO.LOITER,None,0.14024380000000003,12.587117,76.0,False,False,False
OFFBOARD,Flying,None,No,None,None,No,POSCTL,600.0,14.260294787,12.649414,66.0,True,False,False
AUTO.LAND,Arm,None,No,None,None,No,STABILIZED,None,0.08422149999999995,12.831584,81.0,True,False,True
OFFBOARD,Flying,None,No,None,None,No,AUTO.LAND,0.0,0.29586010000000007,12.578471,70.0,True,False,False
AUTO.LAND,Land,None,No,None,None,No,AUTO.LAND,260.0,0.09536159999999994,12.802077,81.0,True,False,False
AUTO.LAND,Disarm,None,No,None,None,No,POSCTL,550.0,0.10493729000000002,12.848209,81.0,True,False,True
OFFBOARD,Flying,None,Yes,Yes,Terminate,No,AUTO.RTL,None,23.547024,4.3468246,76.0,False,True,False
AUTO.LAND,Land,None,No,None,None,No,OFFBOARD,None,0.08046195000000003,12.8302355,81.0,True,False,True
OFFBOARD,Flying,None,No,None,None,No,ALTCTL,615.0,14.810464929999998,12.53741,59.0,True,False,False
AUTO.LAND,Land,None,No,None,None,No,POSCTL,615.0,0.10672215000000002,12.89905,81.0,True,False,False
OFFBOARD,Flying,None,Yes,Yes,Return mode,No,STABILIZED,600.0,23.843691,4.692991,83.0,False,True,False
AUTO.LAND,Land,None,No,None,None,No,AUTO.LOITER,260.0,0.09988311000000002,12.876966,82.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,AUTO.LAND,260.0,1.373868923,12.857528,77.0,True,False,False
OFFBOARD,Flying,None,Yes,Yes,Land mode,No,STABILIZED,None,23.448623,4.711214,30.0,True,True,False
OFFBOARD,Takeoff,None,No,None,None,No,OFFBOARD,None,0.11734430000000007,12.877084,78.0,True,False,True
OFFBOARD,Takeoff,None,No,None,None,No,OFFBOARD,None,0.062246400000000035,12.67642,70.0,True,False,True
OFFBOARD,Flying,None,Yes,Yes,Warning,No,OFFBOARD,None,0.130085,12.71531,74.0,True,False,True
AUTO.LAND,Disarm,None,No,None,None,No,OFFBOARD,260.0,0.1267096000000001,12.479486,73.0,True,False,True
OFFBOARD,Flying,None,Yes,Yes,Warning,No,ALTCTL,600.0,24.304717000000004,4.6897,27.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,POSCTL,615.0,14.263531919999998,12.640774,66.0,True,False,False
OFFBOARD,Flying,None,Yes,Yes,Warning,No,OFFBOARD,550.0,0.09784370000000009,12.850488,81.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,POSCTL,0.0,33.505964648,2.0579545,26.0,True,False,False
OFFBOARD,Flying,None,Yes,Yes,Hold mode,No,STABILIZED,None,23.853146000000002,4.6526785,29.0,True,True,False
OFFBOARD,Takeoff,None,No,None,None,No,AUTO.LAND,None,0.09852324000000001,12.858234,81.0,True,False,True
OFFBOARD,Flying,None,No,None,None,No,AUTO.LAND,550.0,0.24601249999999997,12.633559,70.0,True,False,False
AUTO.LAND,Arm,None,No,None,None,No,ALTCTL,550.0,0.09999650000000004,12.826799,82.0,True,False,False
OFFBOARD,Hover,None,No,None,None,No,AUTO.LOITER,None,0.10164069999999992,12.826612,81.0,True,False,True
AUTO.LAND,Land,None,No,None,None,No,ALTCTL,600.0,0.15241165,12.60886,74.0,True,False,False
AUTO.LAND,Disarm,None,No,None,None,No,AUTO.RTL,None,0.10116617000000003,12.830436,81.0,True,False,True
OFFBOARD,Takeoff,None,No,None,None,No,AUTO.RTL,None,0.15920289,12.611004,73.0,True,False,True
OFFBOARD,Flying,None,Yes,Yes,Hold mode,No,STABILIZED,None,24.620042,4.6544633,21.0,True,True,False
OFFBOARD,Flying,None,Yes,Yes,Hold mode,No,ALTCTL,0.0,23.332279,4.82473,37.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,ALTCTL,None,1.374017161,12.848507,77.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,POSCTL,550.0,1.374011437,12.831724,77.0,True,False,False
OFFBOARD,Flying,None,Yes,Yes,Warning,No,POSCTL,0.0,23.604909,4.841894,35.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,STABILIZED,None,14.260723064999999,12.64917,52.0,True,True,False
OFFBOARD,Flying,None,Yes,Yes,Return mode,No,ALTCTL,260.0,23.332562000000003,4.7850757,36.0,True,False,False
OFFBOARD,Flying,None,Yes,Yes,Return mode,No,STABILIZED,None,23.699179,4.6941123,29.0,True,True,False
OFFBOARD,Flying,None,No,None,None,No,ALTCTL,615.0,14.260402375,12.642085,66.0,True,False,False
AUTO.LAND,Arm,None,No,None,None,No,POSCTL,615.0,33.5511958602,0.00020270518,83.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,AUTO.RTL,None,1.373779573,29.813953,83.0,False,False,False
OFFBOARD,Flying,None,Yes,Yes,Return mode,No,ALTCTL,260.0,23.397924000000003,4.7866335,36.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,STABILIZED,None,14.259153887999998,12.63944,52.0,True,True,False
OFFBOARD,Hover,None,No,None,None,No,ALTCTL,600.0,14.269270337,12.51366,56.0,True,False,False
AUTO.LAND,Land,None,No,None,None,No,AUTO.LOITER,None,0.08361189999999996,12.810211,83.0,False,False,False
