timestamp,device_id,min_distance,max_distance,current_distance,variance,h_fov,v_fov,q[0],q[1],q[2],q[3],signal_quality,type,orientation
6973204000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6973260000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6973312000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6973364000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6973416000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6973468000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6973520000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6973572000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6973624000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6973676000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6973728000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6973776000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6973832000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6973884000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6973936000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6973988000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6974040000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6974092000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6974144000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6974196000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6974248000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6974300000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6974356000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6974408000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6974460000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6974512000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6974564000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6974616000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6974668000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6974720000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6974772000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6974824000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6974876000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6974928000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
