timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
6971380000,6971380000,1036000,41.606704,-86.3556021,-0.6452512,-1.3878456,0.112193786,0.00034446313,0.00015069879,0.0,-0.0011871897,-0.0024184377,6.7438945e-05,-0.0012270679,-0.0007434546,-0.012204854,-0.016599584,-0.026200503,-0.009355422,-0.09935169,-1.0527651,0.0088405255,229.39903,0.1,0.08485707,0.102443494,0.0081084315,0.0057622544,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6971884000,6971884000,1036000,41.606704,-86.3556021,-0.64603126,-1.3872182,0.11036075,0.00034446313,0.00015069879,0.0,-0.0015595548,-0.00153395,0.0010357066,-8.051713e-05,-0.0007434546,-0.012204854,-0.016599584,0.019842885,-0.020489343,0.6006741,-1.0523405,0.0088405255,229.39903,0.100454055,0.08457777,0.10206116,0.015852915,0.01140159,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6972380000,6972380000,1036000,41.606704,-86.3556021,-0.64575607,-1.386553,0.110791765,0.00034446313,0.00015069879,0.0,0.00078568765,0.0008829243,0.0030233564,0.0028309005,-0.0007434546,-0.012204854,-0.016599584,-0.02392221,0.028726865,0.16444077,-1.052062,0.0088405255,229.39903,0.1006935,0.084320225,0.10173441,0.020821558,0.015116207,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6972884000,6972884000,1036000,41.606704,-86.3556021,-0.64526844,-1.3869622,0.11192024,0.00034446313,0.00015069879,0.0,0.0029957474,-0.0012704037,0.0024579652,0.0023659333,-0.0007434546,-0.012204854,-0.016599584,-0.036572624,0.028556539,-0.44274893,-1.0515113,0.0088405255,229.39903,0.100085765,0.08402029,0.10134833,0.01284694,0.009192807,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6973380000,6973380000,1036000,41.606704,-86.3556021,-0.64520496,-1.3871802,0.112938136,0.00034446313,0.00015069879,0.0,-0.0017748878,-0.0006929102,0.003346271,0.0022476085,-0.0007434546,-0.012204854,-0.016599584,-0.07373521,0.025962835,0.0033862256,-1.0514246,0.0088405255,229.39903,0.1,0.08375769,0.1010239,0.018461479,0.013342055,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6973876000,6973876000,1036000,41.606704,-86.3556021,-0.6459512,-1.3876116,0.11149237,0.00034446313,0.00015069879,0.0,-0.0024985382,-0.003183812,0.0016625816,0.00021239223,-0.0007434546,-0.012204854,-0.016599584,-0.028380344,0.008415448,-0.53115934,-1.0513813,0.0088405255,229.39903,0.1,0.08333257,0.10065193,0.008108384,0.0057622534,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6974380000,6974380000,1036000,41.606704,-86.3556021,-0.6469623,-1.3877583,0.11224869,0.00034446313,0.00015069879,0.0,-0.0014599652,-0.0031252732,0.0062695686,0.004826955,-0.0007434546,-0.012204854,-0.016599584,-0.014111527,-0.016412694,0.04615256,-1.0514947,0.0088405255,229.39903,0.1,0.08321332,0.10028994,0.01585193,0.01140219,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6974876000,6974876000,1036000,41.606704,-86.3556021,-0.6447425,-1.3862215,0.11139361,0.00034446313,0.00015069879,0.0,0.003438558,0.0024866606,0.0001633692,-0.0015801117,-0.0007434546,-0.012204854,-0.016599584,-0.066453576,-0.10476334,-0.0117161,-1.0512437,0.0088405255,229.39903,0.10014952,0.08282842,0.099981114,0.020807013,0.01511163,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6975380000,6975380000,1036000,41.606704,-86.3556021,-0.6450809,-1.3858716,0.110923186,0.00034446313,0.00015069879,0.0,-0.0015987768,0.0027573428,-0.0010211311,-0.0018962398,-0.0007434546,-0.012204854,-0.016599584,-0.017002346,0.04586387,-0.03586343,-1.0508554,0.0088405255,229.39903,0.10038969,0.082544014,0.09961448,0.012849368,0.009192799,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6975876000,6975876000,1036000,41.606704,-86.3556021,-0.64646745,-1.3850529,0.11068612,0.00034446313,0.00015069879,0.0,-0.00045540978,0.0074231424,0.00059147435,0.00031454326,-0.0007434546,-0.012204854,-0.016599584,-0.02223066,-0.00045694446,0.61025834,-1.0511564,0.0088405255,229.39903,0.10081309,0.08229708,0.09930728,0.018452963,0.013339548,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
