timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
6971692000,6971692000,1311004,-0.06031254,0.184971,-9.785077,13.515131,0,0,0,0,1
6972692000,6972692000,1311004,-0.1452119,0.04444277,-9.680845,13.515131,0,0,0,0,1
6973692000,6973692000,1311004,-0.07398929,-0.088592716,-9.995337,13.515131,0,0,0,0,1
6974692000,6974692000,1311004,-0.14620048,-0.21121225,-9.945323,13.515131,0,0,0,0,1
6975692000,6975692000,1311004,-0.038928084,-0.042056303,-9.792606,13.515131,0,0,0,0,1
6976692000,6976692000,1311004,-0.086591594,-0.13932326,-8.019011,13.515131,0,0,0,0,1
6977692000,6977692000,1311004,-0.0018700553,-0.11200227,-11.915633,13.513666,0,0,0,0,1
6978692000,6978692000,1311004,-0.13518941,0.09972744,-9.040002,13.505365,0,0,0,0,1
6979692000,6979692000,1311004,-0.13816728,0.037488416,-9.3808975,13.501825,0,0,0,0,1
6980692000,6980692000,1311004,0.0018988458,-0.055708516,-9.697242,13.500788,0,0,0,0,1
6981692000,6981692000,1311004,0.40410691,-0.30565065,-10.408528,13.500147,0,0,0,0,1
6982692000,6982692000,1311004,1.7123599,-1.0625114,-9.918703,13.496332,0,0,0,0,1
6983692000,6983692000,1311004,2.4070046,-1.2065432,-9.307666,13.49151,0,0,0,0,1
6984692000,6984692000,1311004,2.6724148,-1.0105265,-9.390147,13.486811,0,0,0,0,1
6985692000,6985692000,1311004,2.5488195,-1.2923667,-9.616917,13.482203,0,0,0,0,1
6986692000,6986692000,1311004,2.674964,-1.2539071,-9.302953,13.477472,0,0,0,0,1
6987692000,6987692000,1311004,2.6027372,-0.98302937,-9.276437,13.472712,0,0,0,0,1
6988692000,6988692000,1311004,2.4554894,-0.9418244,-9.395784,13.4682255,0,0,0,0,1
6989692000,6989692000,1311004,2.5720205,-0.90961033,-9.329146,13.463648,0,0,0,0,1
6990692000,6990692000,1311004,2.8090663,-0.9962709,-9.197286,13.45907,0,0,0,0,1
6991692000,6991692000,1311004,2.6426275,-0.74178743,-9.41579,13.454432,0,0,0,0,1
6992692000,6992692000,1311004,2.6897154,-0.8136823,-9.348487,13.449762,0,0,0,0,1
6993692000,6993692000,1311004,2.7575884,-0.8637467,-9.305913,13.445124,0,0,0,0,1
6994692000,6994692000,1311004,2.6821787,-0.9949421,-9.348172,13.440577,0,0,0,0,1
6995692000,6995692000,1311004,2.1543832,-0.5559958,-9.160221,13.436121,0,0,0,0,1
6996692000,6996692000,1311004,0.61853915,-0.044232138,-9.652468,13.4335575,0,0,0,0,1
6997692000,6997692000,1311004,-0.054332417,-0.08573114,-9.756646,13.432764,0,0,0,0,1
6998692000,6998692000,1311004,-0.19592121,0.06729625,-9.638053,13.432795,0,0,0,0,1
6999692000,6999692000,1311004,-0.005879062,0.028136637,-9.8183365,13.4331,0,0,0,0,1
7000692000,7000692000,1311004,0.13588338,-0.18504944,-10.031899,13.433252,0,0,0,0,1
7001692000,7001692000,1311004,-0.018281538,-0.13363257,-9.619035,13.433344,0,0,0,0,1
7002692000,7002692000,1311004,0.113526225,-0.030434962,-9.752698,13.433466,0,0,0,0,1
7003692000,7003692000,1311004,-0.10020433,-0.029617636,-9.750344,13.433527,0,0,0,0,1
7004692000,7004692000,1311004,-0.10581638,-0.13118139,-9.996094,13.433527,0,0,0,0,1
7005692000,7005692000,1311004,-0.01600821,0.19936778,-12.262216,13.433588,0,0,0,0,1
7006692000,7006692000,1311004,-0.03859829,0.0828382,-9.803344,13.43371,0,0,0,0,1
7007692000,7007692000,1311004,-0.0012994619,-0.045542926,-9.914537,13.433893,0,0,0,0,1
7008692000,7008692000,1311004,-0.19830224,-0.12500483,-9.832716,13.433924,0,0,0,0,1
7009692000,7009692000,1311004,0.016572973,-0.044310622,-9.828951,13.433771,0,0,0,0,1
7010692000,7010692000,1311004,0.05095078,0.23076184,-6.8709955,13.43371,0,0,0,0,1
7011692000,7011692000,1311004,-0.08090955,-0.07248255,-9.887213,13.433741,0,0,0,0,1
7012692000,7012692000,1311004,-0.052374884,-0.022378454,-9.846081,13.43368,0,0,0,0,1
7013692000,7013692000,1311004,0.065961204,0.072684035,-9.872614,13.433893,0,0,0,0,1
7014692000,7014692000,1311004,-0.32031053,-0.84560597,-10.135049,13.434015,0,0,0,0,1
7015692000,7015692000,1311004,-0.57669324,-2.1547134,-9.8411875,13.433466,0,0,0,0,1
7016692000,7016692000,1311004,-0.8582127,-2.7476437,-9.258531,13.432978,0,0,0,0,1
7017692000,7017692000,1311004,-0.70441836,-2.9880762,-9.3747425,13.432795,0,0,0,0,1
7018692000,7018692000,1311004,-0.58020824,-3.1023865,-9.242121,13.4326725,0,0,0,0,1
7019692000,7019692000,1311004,-0.41331,-3.4631107,-6.4438105,13.432459,0,0,0,0,1
7020692000,7020692000,1311004,-0.28185797,-2.1177323,-12.00861,13.432337,0,0,0,0,1
7021692000,7021692000,1311004,-0.03624859,-0.7870521,-9.922095,13.43252,0,0,0,0,1
7022692000,7022692000,1311004,0.053730372,0.04583988,-9.919509,13.432611,0,0,0,0,1
7023692000,7023692000,1311004,0.1283734,-0.27192605,-7.034706,13.432917,0,0,0,0,1
7024692000,7024692000,1311004,-0.8084553,0.5877698,-9.626018,13.434412,0,0,0,0,1
7025692000,7025692000,1311004,-2.3871682,1.2254441,-9.265801,13.437799,0,0,0,0,1
7026692000,7026692000,1311004,-3.055226,1.2485559,-9.245195,13.442377,0,0,0,0,1
7027692000,7027692000,1311004,-3.3526263,1.2617232,-9.143031,13.447504,0,0,0,0,1
7028692000,7028692000,1311004,-3.0856707,1.431909,-9.299216,13.452906,0,0,0,0,1
7029692000,7029692000,1311004,-3.134994,1.4876673,-9.318945,13.458185,0,0,0,0,1
7030692000,7030692000,1311004,-3.038055,1.5602177,-9.322595,13.463068,0,0,0,0,1
7031692000,7031692000,1311004,-3.023732,1.7937427,-9.358304,13.467829,0,0,0,0,1
7032692000,7032692000,1311004,-2.8101778,1.6132543,-9.312022,13.47262,0,0,0,0,1
