timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
6971812000,6971690000,0.00032933266,0.00096031645,0.0036918635,1,0,0,0,0,0,0,0,0,0,0
6972644000,6972522000,0.00081207446,0.0009288851,0.0033860754,1,0,0,0,0,0,0,0,0,0,0
6973628000,6973510000,0.00078219385,0.00028743703,0.0034571276,1,0,0,0,0,0,0,0,0,0,0
6974828000,6974710000,0.00040045992,0.00027115003,0.0027698006,1,0,0,0,0,0,0,0,0,0,0
6975812000,6975698000,0.0007665656,0.00025447464,0.0020433231,1,0,0,0,0,0,0,0,0,0,0
6976804000,6976686000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6977636000,6977518000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6978836000,6978714000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6979820000,6979698000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6980812000,6980690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6981636000,6981522000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6982836000,6982718000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6983820000,6983702000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6984812000,6984694000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6985644000,6985526000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6986636000,6986514000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6987828000,6987710000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6988820000,6988698000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6989804000,6989686000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6990636000,6990518000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6991620000,6991502000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6992820000,6992698000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6993812000,6993690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6994644000,6994522000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6995836000,6995718000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6996828000,6996706000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6997812000,6997694000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6998644000,6998522000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6999628000,6999510000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7000828000,7000710000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7001812000,7001694000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7002804000,7002686000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7003636000,7003514000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7004836000,7004714000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7005820000,7005702000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7006812000,7006690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7007644000,7007522000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7008836000,7008718000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7009828000,7009706000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7010812000,7010694000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7011644000,7011526000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7012636000,7012514000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7013828000,7013710000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7014820000,7014698000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7015804000,7015682000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7016636000,7016518000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7017836000,7017714000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7018820000,7018702000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7019812000,7019690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7020636000,7020518000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7021628000,7021510000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7022828000,7022710000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7023820000,7023698000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7024804000,7024686000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7025636000,7025518000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7026620000,7026502000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7027820000,7027702000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7028812000,7028690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7029644000,7029522000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7030836000,7030718000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7031828000,7031706000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7032812000,7032694000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7033644000,7033522000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7034636000,7034514000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7035828000,7035710000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7036820000,7036698000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7037804000,7037686000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7038636000,7038518000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7039836000,7039714000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7040820000,7040698000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7041812000,7041690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7042644000,7042522000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7043836000,7043718000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
7044828000,7044706000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
