timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
7012908000,7012908000,41.60669674851946,-86.3552006844951,241.87737,241.8224,-0.0,1.0636731,1.0833486,nan,2,0,0,0
7013908000,7013908000,41.606696715380714,-86.3552005752519,241.85342,241.79587,-0.0,1.0649667,1.0837954,nan,2,0,0,0
7014908000,7014908000,41.60669914686325,-86.35520058849647,241.86313,241.8011,-0.0,1.0666476,1.0832419,nan,2,0,0,0
7015908000,7015908000,41.606712763706504,-86.3552009726678,241.94357,241.87752,-0.0,1.0683858,1.0838132,nan,2,0,0,0
7016908000,7016908000,41.60673393061929,-86.35520144511399,241.97653,241.90915,-0.0,1.0631992,1.0821625,nan,2,0,0,0
7017908000,7017908000,41.60675669542621,-86.35520137605883,241.97795,241.9122,-0.0,1.0645928,1.0825639,nan,2,0,0,0
7018908000,7018908000,41.606779555427835,-86.3552009435308,241.97542,241.9132,-0.0,1.066004,1.0830874,nan,2,0,0,0
7019908000,7019908000,41.60680209418028,-86.3552005733573,241.97812,241.92139,-0.0,1.0678529,1.0836658,nan,2,0,0,0
7020908000,7020908000,41.606822175032924,-86.35519995663216,241.95757,241.90805,-0.0,1.0697592,1.0853616,nan,2,0,0,0
7021908000,7021908000,41.60683125208272,-86.35519923316345,241.94554,241.90787,-0.0,1.0640318,1.0834297,nan,2,0,0,0
7022908000,7022908000,41.606832125916696,-86.35519883073215,241.94861,241.9166,-0.0,1.0652488,1.0837168,nan,2,0,0,0
7023908000,7023908000,41.60683115513898,-86.35519853475726,241.90387,241.87656,-0.0,1.0668693,1.0840877,nan,2,0,0,0
7024908000,7024908000,41.60682863509596,-86.3552015599635,241.63123,241.60693,-0.0,1.068509,1.0845443,nan,2,0,0,0
7025908000,7025908000,41.606821820104194,-86.35521914841136,241.09615,241.07384,-0.0,1.0632329,1.0828173,nan,2,0,0,0
7026908000,7026908000,41.60681325050598,-86.35524672747032,240.39389,240.37395,-0.0,1.064576,1.0831232,nan,2,0,0,0
7027908000,7027908000,41.60680428151437,-86.3552772317148,239.60156,239.58203,-0.0,1.0659615,1.0834953,nan,2,0,0,0
7028908000,7028908000,41.60679528569641,-86.35530802342073,238.8037,238.78276,-0.0,1.0678247,1.0839404,nan,2,0,0,0
7029908000,7029908000,41.60678629966416,-86.35533857162557,238.00995,237.98622,-0.0,1.0697415,1.0844861,nan,2,0,0,0
7030908000,7030908000,41.60677732601667,-86.35536895334133,237.24129,237.21326,-0.0,1.0640264,1.0827224,nan,2,0,0,0
7031908000,7031908000,41.60676807704752,-86.35539903092486,236.50975,236.48036,-0.0,1.0655771,1.0832844,nan,2,0,0,0
7032908000,7032908000,41.60675876827447,-86.35542909401289,235.77902,235.74911,-0.0,1.0671409,1.0839217,nan,2,0,0,0
7033908000,7033908000,41.60674935464022,-86.35545905159981,235.04723,235.01654,-0.0,1.069289,1.0844833,nan,2,0,0,0
7034908000,7034908000,41.60673976355508,-86.3554892849481,234.29613,234.26346,-0.0,1.0637006,1.082626,nan,2,0,0,0
7035908000,7035908000,41.60673035846497,-86.3555196663405,233.55151,233.51724,-0.0,1.065018,1.0840533,nan,2,0,0,0
