timestamp,position,velocity,acceleration,attitude,body_rate,actuator
6971408000,0,1,0,0,0,0
6971448000,0,1,0,0,0,0
6971488000,0,1,0,0,0,0
6971608000,0,1,0,0,0,0
6971692000,0,1,0,0,0,0
6971772000,0,1,0,0,0,0
6971892000,0,1,0,0,0,0
6971976000,0,1,0,0,0,0
6972096000,0,1,0,0,0,0
6972176000,0,1,0,0,0,0
6972296000,0,1,0,0,0,0
6972372000,0,1,0,0,0,0
6972492000,0,1,0,0,0,0
6972572000,0,1,0,0,0,0
6972692000,0,1,0,0,0,0
6972768000,0,1,0,0,0,0
6972892000,0,1,0,0,0,0
6972972000,0,1,0,0,0,0
6973092000,0,1,0,0,0,0
6973176000,0,1,0,0,0,0
6973296000,0,1,0,0,0,0
6973376000,0,1,0,0,0,0
6973496000,0,1,0,0,0,0
6973576000,0,1,0,0,0,0
6973696000,0,1,0,0,0,0
6973808000,0,1,0,0,0,0
6973884000,0,1,0,0,0,0
6974008000,0,1,0,0,0,0
6974088000,0,1,0,0,0,0
6974208000,0,1,0,0,0,0
6974288000,0,1,0,0,0,0
6974388000,0,1,0,0,0,0
6974468000,0,1,0,0,0,0
6974592000,0,1,0,0,0,0
6974712000,0,1,0,0,0,0
6974792000,0,1,0,0,0,0
6974872000,0,1,0,0,0,0
6974988000,0,1,0,0,0,0
6975072000,0,1,0,0,0,0
6975192000,0,1,0,0,0,0
6975268000,0,1,0,0,0,0
6975392000,1,0,0,0,0,0
6975472000,1,0,0,0,0,0
6975596000,1,0,0,0,0,0
6975676000,1,0,0,0,0,0
6975796000,1,0,0,0,0,0
6975876000,1,0,0,0,0,0
6975996000,1,0,0,0,0,0
6976076000,1,0,0,0,0,0
6976200000,1,0,0,0,0,0
6976280000,1,0,0,0,0,0
6976396000,1,0,0,0,0,0
6976476000,1,0,0,0,0,0
6976596000,1,0,0,0,0,0
6976676000,1,0,0,0,0,0
6976788000,1,0,0,0,0,0
6976872000,1,0,0,0,0,0
6976996000,1,0,0,0,0,0
