timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
6970976000,0.0,0.0,0.0,0.0
6970980000,0.0,0.0,0.0,0.0
6971176000,0.0,0.0,0.0,0.0
6971376000,0.0,0.0,0.0,0.0
6971572000,0.0,0.0,0.0,0.0
6971776000,0.0,0.0,0.0,0.0
6971976000,0.0,0.0,0.0,0.0
6972176000,0.0,0.0,0.0,0.0
6972376000,0.0,0.0,0.0,0.0
6972576000,0.0,0.0,0.0,0.0
6972776000,0.0,0.0,0.0,0.0
6972976000,0.0,0.0,0.0,0.0
6973176000,0.0,0.0,0.0,0.0
6973376000,0.0,0.0,0.0,0.0
6973576000,0.0,0.0,0.0,0.0
6973776000,0.0,0.0,0.0,0.0
6973976000,0.0,0.0,0.0,0.0
6974176000,0.0,0.0,0.0,0.0
6974372000,0.0,0.0,0.0,0.0
6974572000,0.0,0.0,0.0,0.0
6974776000,0.0,0.0,0.0,0.0
6974972000,0.0,0.0,0.0,0.0
6975176000,0.0,0.0,0.0,0.0
6975376000,0.0,0.0,0.0,0.0
6975576000,0.0,0.0,0.0,0.0
6975776000,0.0,0.0,0.0,0.0
6975976000,0.0,0.0,0.0,0.0
6976176000,0.0,0.0,0.0,0.0
6976376000,0.00029342616,0.0005933198,-8.868999e-06,0.0
6976576000,0.00083839975,0.0017094162,3.5616351e-06,0.0
6976772000,0.0013828258,0.002733741,1.1048314e-05,0.0
6976976000,0.0020744076,0.0036791095,3.263632e-05,0.0
6977176000,0.0030222791,0.0040128543,0.0005813327,0.0
6977376000,0.0026703652,0.0020208817,0.0006978003,0.0
6977576000,0.002434641,0.0007367989,0.0006581004,0.0
6977776000,0.0023766838,-0.00034397078,0.0006487459,0.0
6977976000,0.0022679744,-0.0014092217,0.00060290186,0.0
6978176000,0.002044294,-0.0023120465,0.0005653311,0.0
6978372000,0.0019960157,-0.0030576992,0.00054208573,0.0
6978576000,0.0018979982,-0.0038684881,0.00049756235,0.0
6978776000,0.0017768195,-0.0046091406,0.00050979014,0.0
6978976000,0.0017023823,-0.0053089787,0.00044582295,0.0
6979176000,0.0015386828,-0.005910902,0.00042649882,0.0
6979376000,0.0014246603,-0.006464694,0.00038553798,0.0
6979572000,0.0012798477,-0.006991173,0.0003510593,0.0
6979776000,0.0011570235,-0.007448848,0.00032725555,0.0
6979976000,0.0010616534,-0.007861203,0.0003101373,0.0
6980172000,0.0009417103,-0.0082270205,0.00028383775,0.0
6980372000,0.0008474235,-0.008558461,0.00027229433,0.0
6980572000,0.00070179196,-0.008711514,0.00023617277,0.0
6980776000,0.00062222424,-0.009070761,0.00018550402,0.0
6980976000,0.00059525034,-0.009225557,0.00011594857,0.0
6981176000,0.0006447752,-0.009190633,9.2825496e-05,0.0
6981376000,0.00086190697,-0.009003501,0.00012890126,0.0
6981576000,0.0011847445,-0.008536878,5.821624e-05,0.0
6981772000,0.0016439654,-0.0076397886,-4.200238e-05,0.0
6981976000,0.0025671388,-0.0064427117,-6.694348e-05,0.0
6982172000,0.0035739208,-0.004635413,-0.00010755524,0.0
6982376000,0.005081896,-0.0019975645,-0.00011564439,0.0
6982572000,0.0067427414,0.0010267631,-1.3724847e-05,0.0
6982776000,0.008638634,0.004555848,0.00021905625,0.0
6982976000,0.010602285,0.008370275,0.00043350685,0.0
6983176000,0.012563466,0.012220868,0.0007188577,0.0
6983376000,0.01454528,0.016149253,0.0010382071,0.0
6983576000,0.016270937,0.020002298,0.0013868888,0.0
6983776000,0.017888509,0.023593958,0.0016640788,0.0
6983976000,0.019440731,0.027089583,0.0018213722,0.0
6984176000,0.020786671,0.030301163,0.0019319294,0.0
6984376000,0.021982165,0.033398237,0.002133969,0.0
6984576000,0.022980716,0.03615549,0.0022074934,0.0
6984776000,0.023959856,0.03884948,0.0023737238,0.0
