timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
6990424000,6990424000,0.81614435,0.109796494,0.08531235,-0.5608698,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
6990920000,6990920000,0.81335527,0.109177545,0.085834056,-0.56494784,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
6991424000,6991424000,0.8113297,0.10936665,0.08777909,-0.5675192,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
6991924000,6991924000,0.80880576,0.107907765,0.087063886,-0.5714973,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
6992424000,6992424000,0.807892,0.107767195,0.088384375,-0.5726124,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
6992924000,6992924000,0.8052664,0.10850108,0.08918053,-0.57603866,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
6993424000,6993424000,0.80389786,0.10872174,0.089608304,-0.5778394,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
6993920000,6993920000,0.80213666,0.10817451,0.08922632,-0.58044267,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
6994420000,6994420000,0.7999923,0.10744635,0.089957505,-0.583417,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
6994920000,6994920000,0.79875606,0.10190409,0.08584338,-0.5867157,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
6995424000,6995424000,0.80191237,0.067370065,0.061379265,-0.59044933,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
6995924000,6995924000,0.80457604,0.008036006,0.019115368,-0.5934876,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
6996424000,6996424000,0.8043315,-0.020929938,-0.003436109,-0.5938022,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
6996924000,6996924000,0.8024428,-0.024897823,-0.009418472,-0.59613496,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
6997420000,6997420000,0.80208945,-0.016589582,-0.0102843875,-0.59688485,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
6997920000,6997920000,0.801129,-0.01066507,-0.0069690896,-0.5983561,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
6998420000,6998420000,0.80077183,-0.017720364,0.00024818964,-0.59870744,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
6998920000,6998920000,0.80098176,-0.007214298,-0.0008321662,-0.5986448,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
6999424000,6999424000,0.8011508,-0.0034901344,0.00045695485,-0.59845227,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
6999924000,6999924000,0.8010719,-0.0022264235,0.0005135476,-0.59856397,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
7000420000,7000420000,0.8011501,-0.0014847289,-0.00037535964,-0.59846157,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
7000924000,7000924000,0.8009815,-0.0029173712,0.00014614151,-0.5986819,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
7001424000,7001424000,0.8008511,-0.0023712611,0.0005620954,-0.5988587,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
7001924000,7001924000,0.80062795,-0.004355917,0.0005963632,-0.5991458,0.9999985,4.5438037e-10,-8.435284e-11,0.0017800769,5
