timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
6970976000,-0.64488155,-1.3867354,0.12946062,nan,0.0,-0.0010340248,0.0,0.698848,-0.06528258,0.0,-0.095998146,0.0,0.0,-4.0,nan,nan,nan
6970992000,-0.6448932,-1.3867663,0.12387675,nan,0.0,0.0,0.00026179542,0.699488,0.0,0.019260645,-0.0639993,0.0,0.0,-4.0,nan,nan,nan
6971176000,-0.64504397,-1.3873123,0.12916306,nan,0.0,-0.00011922775,0.0,0.69884807,-0.0051037073,0.0,-0.09599589,0.0,0.0,-4.0,nan,nan,nan
6971352000,-0.64547247,-1.3875276,0.1235537,nan,0.0,0.0,0.0002716682,0.699488,0.0,0.020152569,-0.06399858,0.0,0.0,-4.0,nan,nan,nan
6971576000,-0.64578074,-1.3874285,0.12851395,nan,0.0,-0.000101086414,0.0,0.698848,-0.0043087006,0.0,-0.09599834,0.0,0.0,-4.0,nan,nan,nan
6971752000,-0.6460175,-1.387128,0.122058585,nan,0.0,0.0,0.00026755864,0.699488,0.0,0.019779325,-0.063998416,0.0,0.0,-4.0,nan,nan,nan
6971976000,-0.64616305,-1.386908,0.12728994,nan,0.0,-9.07026e-05,0.0,0.698848,-0.0038567781,0.0,-0.09599923,0.0,0.0,-4.0,nan,nan,nan
6972152000,-0.64625734,-1.3867854,0.12152611,nan,0.0,0.0,0.000262776,0.699488,0.0,0.019348383,-0.063999355,0.0,0.0,-4.0,nan,nan,nan
6972376000,-0.64593154,-1.3864124,0.12730137,nan,0.0,-9.549705e-05,0.0,0.69884807,-0.004065275,0.0,-0.09599631,0.0,0.0,-4.0,nan,nan,nan
6972576000,-0.6458549,-1.3864425,0.12776798,nan,0.0,-9.906472e-05,0.0,0.69884807,-0.004220605,0.0,-0.09599705,0.0,0.0,-4.0,nan,nan,nan
6972776000,-0.6457997,-1.3866204,0.12807289,nan,0.0,-9.908164e-05,0.0,0.69884807,-0.00422132,0.0,-0.095997535,0.0,0.0,-4.0,nan,nan,nan
6972952000,-0.64537483,-1.3866905,0.1231723,nan,0.0,0.0,0.00026098127,0.699488,0.0,0.019188046,-0.06399899,0.0,0.0,-4.0,nan,nan,nan
6973152000,-0.64496595,-1.3869551,0.12397882,nan,0.0,0.0,0.00026426773,0.699488,0.0,0.019482255,-0.063999265,0.0,0.0,-4.0,nan,nan,nan
6973336000,nan,nan,nan,nan,nan,0.0,0.0,-0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
6973536000,nan,nan,nan,nan,nan,0.0,0.0,-0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
6973768000,nan,nan,nan,nan,nan,0.0,0.0,-0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
6973968000,nan,nan,nan,nan,nan,0.0,0.0,-0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
