timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
6971296000,6971296000,41.60669819623503,-86.35561878869522,229.28664,229.2676,-0.0,1.0035944,1.0052421,229.18758,2,0,1,0
6971304000,6971304000,41.606698196024375,-86.35561878867084,229.28664,229.2676,-0.0,1.0035945,1.0052377,229.18752,2,0,1,0
6971312000,6971312000,41.60669819578798,-86.35561878863356,229.28664,229.2676,-0.0,1.0035948,1.0052378,229.18748,2,0,1,0
6971320000,6971320000,41.60669819555587,-86.3556187885834,229.28665,229.26761,-0.0,1.003595,1.0052379,229.18745,2,0,1,0
6971328000,6971328000,41.60669819533931,-86.35561878855184,229.28665,229.26761,-0.0,1.0035952,1.005238,229.18742,2,0,1,0
6971336000,6971336000,41.60669819512544,-86.35561878852604,229.28667,229.26762,-0.0,1.0035956,1.0052382,229.1874,2,0,1,0
6971344000,6971344000,41.60669819490512,-86.35561878849593,229.28668,229.26764,-0.0,1.003596,1.0052384,229.18736,2,0,1,0
6971352000,6971352000,41.60669819472662,-86.35561878849163,229.2867,229.26765,-0.0,1.003594,1.0052329,229.18755,2,0,1,0
6971360000,6971360000,41.606698194572246,-86.35561878849019,229.28673,229.26768,-0.0,1.003594,1.0052329,229.18755,2,0,1,0
6971368000,6971368000,41.606698194466105,-86.35561878842567,229.28674,229.2677,-0.0,1.003594,1.0052329,229.18755,2,0,1,0
6971376000,6971376000,41.606698194371226,-86.35561878835111,229.28676,229.26772,-0.0,1.003594,1.0052329,229.18755,2,0,1,0
6971384000,6971384000,41.60669819425384,-86.355618788278,229.28679,229.26775,-0.0,1.003594,1.0052329,229.18755,2,0,1,0
6971392000,6971392000,41.60669819415307,-86.35561878821491,229.2868,229.26776,-0.0,1.003594,1.0052329,229.18755,2,0,1,0
6971400000,6971400000,41.6066981940614,-86.35561878818909,229.28682,229.26778,-0.0,1.003594,1.0052329,229.18756,2,0,1,0
6971408000,6971408000,41.60669819396974,-86.3556187882063,229.28685,229.2678,-0.0,1.003594,1.0052285,229.18762,2,0,1,0
6971416000,6971416000,41.606698193912386,-86.35561878820917,229.28687,229.26782,-0.0,1.003594,1.0052285,229.18764,2,0,1,0
6971424000,6971424000,41.606698193861995,-86.35561878821491,229.2869,229.26785,-0.0,1.0035942,1.0052285,229.18765,2,0,1,0
6971432000,6971432000,41.606698193806245,-86.35561878822064,229.2869,229.26785,-0.0,1.0035942,1.0052285,229.18767,2,0,1,0
6971440000,6971440000,41.606698193750496,-86.35561878820343,229.28693,229.26788,-0.0,1.0035943,1.0052285,229.18768,2,0,1,0
6971448000,6971448000,41.606698193724235,-86.35561878815182,229.28694,229.26805,-0.0,1.0035814,1.0052286,229.1877,2,0,1,0
6971456000,6971456000,41.60669819367063,-86.35561878810307,229.28694,229.26805,-0.0,1.0035815,1.0052286,229.18771,2,0,1,0
6971464000,6971464000,41.606698193583256,-86.35561878805719,229.28697,229.26808,-0.0,1.0035816,1.0052242,229.18771,2,0,1,0
6971472000,6971472000,41.606698193517325,-86.35561878799696,229.287,229.26811,-0.0,1.0035818,1.0052243,229.18773,2,0,1,0
6971480000,6971480000,41.60669819344657,-86.35561878793244,229.28702,229.26813,-0.0,1.0035819,1.0052243,229.18773,2,0,1,0
6971488000,6971488000,41.60669819333828,-86.35561878785789,229.28703,229.26814,-0.0,1.003582,1.0052245,229.18774,2,0,1,0
6971496000,6971496000,41.606698193227324,-86.35561878778476,229.28706,229.26817,-0.0,1.0035821,1.0052245,229.18776,2,0,1,0
6971504000,6971504000,41.606698193113694,-86.35561878770734,229.2871,229.2682,-0.0,1.0035822,1.0052246,229.18776,2,0,1,0
6971512000,6971512000,41.60669819296735,-86.35561878766863,229.28711,229.26822,-0.0,1.0035825,1.0052247,229.18776,2,0,1,0
6971520000,6971520000,41.60669819282584,-86.35561878760986,229.28716,229.26826,-0.0,1.0035827,1.0052204,229.18776,2,0,1,0
6971528000,6971528000,41.6066981927197,-86.35561878752955,229.28719,229.2683,-0.0,1.003583,1.0052205,229.18776,2,0,1,0
6971536000,6971536000,41.60669819260981,-86.35561878746647,229.28722,229.26833,-0.0,1.0035832,1.0052207,229.18774,2,0,1,0
6971544000,6971544000,41.60669819248009,-86.35561878738761,229.28725,229.26836,-0.0,1.0035836,1.0052208,229.18776,2,0,1,0
6971552000,6971552000,41.606698192363766,-86.35561878731161,229.2873,229.2684,-0.0,1.0035838,1.005221,229.18776,2,0,1,0
6971560000,6971560000,41.60669819225817,-86.35561878727147,229.28732,229.26843,-0.0,1.0035819,1.0052199,229.1879,2,0,1,0
6971568000,6971568000,41.60669819214667,-86.35561878724137,229.28737,229.26848,-0.0,1.0035819,1.0052199,229.18791,2,0,1,0
6971576000,6971576000,41.60669819206359,-86.35561878720121,229.2874,229.26851,-0.0,1.0035819,1.0052199,229.18794,2,0,1,0
6971584000,6971584000,41.6066981919655,-86.35561878715247,229.28745,229.26855,-0.0,1.0035819,1.0052154,229.18802,2,0,1,0
6971592000,6971592000,41.60669819185507,-86.35561878709224,229.28748,229.26859,-0.0,1.003582,1.0052155,229.18805,2,0,1,0
6971600000,6971600000,41.60669819175858,-86.35561878700048,229.28752,229.26863,-0.0,1.003582,1.0052155,229.18808,2,0,1,0
