timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
6971656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.3808985,0.01885569,1.6073189e-10,-0.08643675,-0.050720163,-9.801611,-0.0037717,-0.00096426316,0.0019391074,0.004639578,0.008620323,0.5573074,0.00176689,3.4739158e-05,4.594709e-05,13.515134,13.515134
6972656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.44416934,0.017595243,9.240883e-11,-0.066332266,-0.038629875,-9.804629,0.0006503952,0.00058913,0.0012048748,0.003239812,0.008752013,0.2873804,0.0009923843,2.6133353e-05,2.2515682e-05,13.515134,13.515134
6973656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.25669014,0.011877939,9.610353e-11,-0.05811941,-0.055427838,-9.796131,-0.0011802773,-0.00055692584,0.0018207731,0.0027512854,0.004406118,0.1832939,0.0011424569,1.9537081e-05,2.6936226e-05,13.515134,13.515134
6974656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.2601762,0.013892645,7.9793644e-11,-0.07994562,-0.03688802,-9.786455,-0.0009269077,0.0017391398,0.00012954553,0.0026067686,0.009590018,0.26634085,0.0013501833,2.2496064e-05,1.5856007e-05,13.515134,13.515134
6975656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.45027512,0.020130562,1.117987e-10,-0.09671457,-0.05579624,-9.8252125,-0.0015168311,0.0006115029,-0.0010026759,0.0030511674,0.011713717,0.48273593,0.001687064,1.9778385e-05,2.5509511e-05,13.515134,13.515134
6976656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.7319476,0.030073479,3.3451153e-10,-0.079932936,-0.039773434,-9.841978,-0.0025532327,0.0028192964,-0.0015099128,0.008072668,0.01721126,1.2035024,0.0019471406,2.087019e-05,9.764031e-05,13.515134,13.515134
6977656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.34855288,0.03397479,2.2779305e-09,0.040521916,-0.067687765,-11.80404,-0.027496798,-0.05146628,0.0013534462,0.0049260315,0.023540063,1.2051119,0.013016952,0.00018025837,6.9787966e-05,13.514133,13.514133
6978656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.19476373,0.02387159,6.7010925e-11,-0.035331555,-0.04872114,-8.771849,-0.0026136816,0.0062741414,0.00018461212,0.0028236443,0.0059940815,0.0038324757,7.771952e-05,4.515847e-05,3.913764e-05,13.505939,13.505939
6979656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.19757499,0.026446454,2.9217123e-10,-0.05019835,-0.052131068,-9.407999,-0.011431886,-0.0013870975,-0.00077664887,0.0033734317,0.013650888,0.35762438,0.00012252836,2.4464227e-05,3.4790442e-05,13.502006,13.502006
6980656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.22029728,0.02822828,2.5450522e-09,-0.040375415,-0.029270308,-9.395005,-0.0057068076,0.038465995,0.0017333655,0.0026871618,0.021430012,1.1681919,0.012748383,9.596178e-05,5.730824e-05,13.500715,13.500715
6981656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.22325563,0.031077132,1.5785972e-08,0.29273084,-0.19133572,-10.461795,0.15737528,0.27686596,-0.009657161,0.0041349186,0.021642964,1.1138608,0.013171403,8.497866e-05,5.9734324e-05,13.500382,13.500382
6982656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.18414138,0.023768997,3.8991946e-10,1.6867713,-0.87762827,-9.812417,0.012138685,0.040302098,-0.02489637,0.0050883763,0.0029074636,0.0053363596,3.4723318e-05,0.00018528904,4.120937e-05,13.496696,13.496696
6983656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.20138565,0.026370738,4.3497952e-10,2.4331324,-1.1587082,-9.454918,-0.01780003,0.01492769,-0.007014441,0.008539227,0.0047477903,0.013741694,0.00016399455,0.00012519606,3.0591236e-05,13.491929,13.491929
6984656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.22560424,0.029791819,1.4956757e-09,2.6449184,-1.1666548,-9.349292,-0.0006179564,-0.01753227,-0.013634716,0.004672572,0.02330956,1.1145751,0.013520306,9.405148e-05,7.507142e-05,13.487263,13.487263
6985656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.1860086,0.024758954,2.3944627e-10,2.6632762,-1.1154776,-9.325494,0.010048553,0.0038622704,-0.0152040105,0.004615595,0.0057208454,0.009171181,0.0002601953,0.0010839076,2.3239785e-05,13.48258,13.48258
6986656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.20107695,0.027312556,2.4094746e-09,2.582834,-1.0536299,-9.305974,0.012670734,-0.009429797,-0.021675661,0.0048232703,0.0138699,0.9284687,0.0076152096,0.0013917548,5.9375274e-05,13.477876,13.477876
6987656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.22097088,0.029699244,1.7555941e-09,2.6351066,-1.0659018,-9.339824,-0.0023102248,-0.006629376,-0.024621133,0.006029379,0.021099934,1.1697439,0.013397376,0.00024255247,4.5000852e-05,13.473152,13.473152
6988656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.18547493,0.024001073,2.8277108e-10,2.6174185,-0.99858373,-9.410782,-0.0033137994,0.028535996,-0.023490919,0.0024938078,0.004343182,0.0068889246,4.1152714e-05,0.00016704151,3.177105e-05,13.46858,13.46858
6989656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.19849809,0.027042251,1.17819e-09,2.6231012,-0.98718303,-9.410202,0.013187066,0.0073673753,-0.026135735,0.0031550834,0.016565854,0.5826416,0.007490829,0.00010676241,5.6752306e-05,13.464043,13.464043
6990656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.21606214,0.029914914,1.1864745e-09,2.6321402,-0.94178814,-9.394613,0.0022078245,0.0020032036,-0.019195596,0.005141109,0.02513782,1.1020449,0.01337653,7.699376e-05,6.7277e-05,13.459499,13.459499
6991656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.1790101,0.024140617,2.86645e-10,2.6413908,-0.8474531,-9.353726,0.00010267198,-0.008107668,-0.016468935,0.0032961315,0.0043209223,0.0019891614,0.0005320282,0.00032462183,4.1445805e-05,13.454809,13.454809
6992656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.19772248,0.026195899,3.953837e-10,2.6495216,-0.8306877,-9.435769,-0.013489391,0.006453188,-0.01637938,0.0031224973,0.009718329,0.0053787827,0.00023013912,0.00030332676,2.9999012e-05,13.450166,13.450166
6993656000,1311004,1311004,0,0,2,0,0,250.0,250.0,250.0,250.0,0.21005829,0.028866563,1.5384095e-09,2.662014,-0.8088027,-9.404636,0.00228175,0.01446369,-0.01035677,0.003912844,0.02358443,1.1224651,0.0132243205,0.00010008084,7.331675e-05,13.445569,13.445569
