timestamp,timestamp_sample,device_id,pressure,temperature,error_count
6971636000,6971636000,6620172,98612.36,13.515131,0
6972640000,6972640000,6620172,98611.055,13.515131,0
6973628000,6973628000,6620172,98609.99,13.515131,0
6974636000,6974636000,6620172,98610.66,13.515131,0
6975644000,6975644000,6620172,98609.92,13.515131,0
6976628000,6976628000,6620172,98609.47,13.515131,0
6977636000,6977636000,6620172,98607.24,13.513941,0
6978644000,6978644000,6620172,98591.39,13.505671,0
6979628000,6979628000,6620172,98585.56,13.501947,0
6980636000,6980636000,6620172,98584.89,13.500727,0
6981644000,6981644000,6620172,98583.47,13.500269,0
6982624000,6982624000,6620172,98576.83,13.496576,0
6983636000,6983636000,6620172,98568.33,13.491755,0
6984644000,6984644000,6620172,98557.26,13.487055,0
6985628000,6985628000,6620172,98552.5,13.482447,0
6986636000,6986636000,6620172,98543.92,13.477686,0
6987620000,6987620000,6620172,98535.39,13.473047,0
6988628000,6988628000,6620172,98526.16,13.468439,0
6989636000,6989636000,6620172,98518.375,13.463861,0
6990644000,6990644000,6620172,98509.21,13.459284,0
6991628000,6991628000,6620172,98501.52,13.454676,0
6992636000,6992636000,6620172,98491.91,13.449976,0
6993644000,6993644000,6620172,98484.98,13.445368,0
6994628000,6994628000,6620172,98476.29,13.440821,0
6995636000,6995636000,6620172,98469.6,13.436335,0
6996644000,6996644000,6620172,98463.73,13.433619,0
6997624000,6997624000,6620172,98462.34,13.432795,0
6998636000,6998636000,6620172,98460.98,13.432795,0
6999644000,6999644000,6620172,98462.62,13.433069,0
7000628000,7000628000,6620172,98461.555,13.433222,0
7001636000,7001636000,6620172,98462.625,13.433344,0
7002644000,7002644000,6620172,98463.83,13.433466,0
7003628000,7003628000,6620172,98461.695,13.433527,0
7004636000,7004636000,6620172,98462.53,13.433527,0
7005644000,7005644000,6620172,98463.45,13.433588,0
7006624000,7006624000,6620172,98462.414,13.43371,0
7007636000,7007636000,6620172,98460.555,13.433863,0
7008644000,7008644000,6620172,98464.29,13.433924,0
7009628000,7009628000,6620172,98463.125,13.433771,0
7010636000,7010636000,6620172,98464.05,13.43371,0
7011644000,7011644000,6620172,98463.7,13.433741,0
7012628000,7012628000,6620172,98464.95,13.43368,0
7013636000,7013636000,6620172,98464.04,13.433893,0
7014640000,7014640000,6620172,98463.6,13.434015,0
7015624000,7015624000,6620172,98462.93,13.433496,0
7016636000,7016636000,6620172,98464.52,13.432978,0
7017640000,7017640000,6620172,98460.836,13.432795,0
7018624000,7018624000,6620172,98461.95,13.432703,0
7019636000,7019636000,6620172,98462.18,13.432489,0
7020644000,7020644000,6620172,98459.695,13.432337,0
7021628000,7021628000,6620172,98462.62,13.43252,0
7022636000,7022636000,6620172,98461.08,13.432611,0
7023644000,7023644000,6620172,98462.54,13.432886,0
7024624000,7024624000,6620172,98464.9,13.43429,0
7025636000,7025636000,6620172,98470.37,13.437616,0
7026644000,7026644000,6620172,98478.836,13.442133,0
7027628000,7027628000,6620172,98488.94,13.44726,0
7028636000,7028636000,6620172,98495.65,13.4526615,0
7029640000,7029640000,6620172,98506.98,13.457941,0
7030628000,7030628000,6620172,98515.375,13.462824,0
7031636000,7031636000,6620172,98524.7,13.467615,0
7032644000,7032644000,6620172,98534.3,13.472376,0
7033628000,7033628000,6620172,98543.91,13.477137,0
7034636000,7034636000,6620172,98551.73,13.48205,0
7035620000,7035620000,6620172,98560.42,13.48675,0
7036628000,7036628000,6620172,98568.54,13.49148,0
7037636000,7037636000,6620172,98577.05,13.49618,0
7038644000,7038644000,6620172,98584.24,13.501093,0
7039628000,7039628000,6620172,98593.29,13.504206,0
7040632000,7040632000,6620172,98592.35,13.504358,0
7041644000,7041644000,6620172,98592.98,13.505701,0
7042628000,7042628000,6620172,98600.91,13.50979,0
7043636000,7043636000,6620172,98608.96,13.51388,0
7044644000,7044644000,6620172,98608.805,13.515131,0
7045628000,7045628000,6620172,98610.49,13.515131,0
7046636000,7046636000,6620172,98609.39,13.515131,0
7047620000,7047620000,6620172,98610.17,13.515131,0
7048628000,7048628000,6620172,98608.516,13.515131,0
