timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
6988180000,6988180000,1310988,1310988,-6.391531e-06,-3.408845e-05,-3.7284284e-05,0.010236544,-0.0034687747,-0.03760187,4000,4000,0,2,0
6988680000,6988680000,1310988,1310988,0.00020026963,-1.3854647e-05,-9.4807816e-05,0.010260486,-0.0028941664,-0.03636167,4000,4000,0,2,0
6989180000,6989180000,1310988,1310988,8.841696e-05,1.3848433e-05,-5.326409e-06,0.010169507,-0.003497505,-0.037252318,4000,4000,0,2,0
6989680000,6989680000,1310988,1310988,6.498137e-05,6.4980995e-05,-5.6458925e-05,0.010092892,-0.003301181,-0.03724753,4000,4000,0,2,0
6990180000,6990180000,1310988,1310988,-5.432853e-05,-0.00017896444,5.3263366e-06,0.010126409,-0.003301181,-0.036759112,4000,4000,0,2,0
6990680000,6990680000,1310988,1310988,-9.587349e-06,-2.1305866e-06,-8.628644e-05,0.010490329,-0.0035741194,-0.03763539,4000,4000,0,2,0
6991180000,6991180000,1310988,1310988,-1.0652734e-05,3.0892803e-05,-6.0719995e-05,0.0103323115,-0.0034161024,-0.037688058,4000,4000,0,2,0
6991680000,6991680000,1310988,1310988,0.0003227751,2.7702115e-05,-0.00012037375,0.010466387,-0.0038087522,-0.033732835,4000,4000,0,2,0
6992180000,6992180000,1310988,1310988,-1.5978976e-05,9.587355e-06,6.391607e-06,0.010691442,-0.0028319173,-0.03683094,4000,4000,0,2,0
6992680000,6992680000,1310988,1310988,0.00011398347,0.00011078736,-4.7936894e-05,0.010198237,-0.0026643232,-0.037544403,4000,4000,0,2,0
6993180000,6993180000,1310988,1310988,-6.391605e-06,-1.1717899e-05,-1.17179125e-05,0.010341888,-0.0027265726,-0.03687882,4000,4000,0,2,0
6993680000,6993680000,1310988,1310988,-3.1957938e-05,4.3675773e-05,-4.6871708e-05,0.010351465,-0.0026739,-0.037309777,4000,4000,0,2,0
6994180000,6994180000,1310988,1310988,-6.178541e-05,-1.0652731e-06,-6.924214e-05,0.010796787,-0.0027696681,-0.037443854,4000,4000,0,2,0
6994680000,6994680000,1310988,1310988,-7.563381e-05,-0.0001203751,-7.030707e-05,0.01072975,-0.0024296914,-0.03752047,4000,4000,0,2,0
6995180000,6995180000,1310988,1310988,-0.0002194443,-0.00060293986,-3.4087585e-05,0.010346677,-0.0026068622,-0.03673038,4000,4000,0,2,0
6995680000,6995680000,1310988,1310988,-0.00033981973,-0.0012303806,-1.9175191e-05,0.008699466,-0.0019652161,-0.036486175,4000,4000,0,2,0
6996180000,6996180000,1310988,1310988,-0.0001661815,-0.00051878375,-3.1958418e-06,0.0056109456,-0.0012182255,-0.037137397,4000,4000,0,2,0
6996680000,6996680000,1310988,1310988,0.00030466536,-0.00010119664,-8.8421926e-05,0.0022638505,-0.0004903879,-0.03489164,4000,4000,0,2,0
6997180000,6997180000,1310988,1310988,0.00013954964,0.00010226545,3.1957518e-06,0.00062621664,0.00049602333,-0.038324915,4000,4000,0,2,0
6997680000,6997680000,1310988,1310988,2.7696962e-05,9.374325e-05,-2.0240073e-05,-0.000460751,0.0005391189,-0.038439836,4000,4000,0,2,0
6998180000,6998180000,1310988,1310988,-0.00090973574,-0.00019707507,-1.0664622e-06,-0.0009156494,0.0016548168,-0.03753483,4000,4000,0,2,0
6998680000,6998680000,1310988,1310988,5.9654783e-05,0.00010759174,3.515373e-05,-0.0007241132,0.0007354435,-0.03910543,4000,4000,0,2,0
6999180000,6999180000,1310988,1310988,-2.7696839e-05,8.522117e-05,-8.522159e-06,-0.0005182119,0.0003571596,-0.039292183,4000,4000,0,2,0
6999680000,6999680000,1310988,1310988,-0.00012037487,-4.2611546e-06,1.38486075e-05,-0.00045117422,0.00037631323,-0.039407104,4000,4000,0,2,0
7000180000,7000180000,1310988,1310988,-3.1957967e-05,-6.0720067e-05,1.0651313e-06,-0.00032188732,-0.00027490966,-0.039282598,4000,4000,0,2,0
7000680000,7000680000,1310988,1310988,-0.00010759175,-3.089258e-05,7.4567447e-06,-0.00059003796,0.00026617997,-0.03958905,4000,4000,0,2,0
7001180000,7001180000,1310988,1310988,-0.00047830376,1.597972e-05,3.1964134e-06,-0.0002979453,-0.00022702564,-0.0413895,4000,4000,0,2,0
7001680000,7001680000,1310988,1310988,2.0239977e-05,-3.621903e-05,1.2783168e-05,-0.00023090765,0.00024223792,-0.03860743,4000,4000,0,2,0
7002180000,7002180000,1310988,1310988,-1.491371e-05,-2.130529e-05,6.391571e-06,-0.00045117422,-0.00012168072,-0.038707986,4000,4000,0,2,0
7002680000,7002680000,1310988,1310988,3.1957745e-06,-5.32632e-05,1.704431e-05,-0.00013513956,0.0004672929,-0.038731933,4000,4000,0,2,0
7003180000,7003180000,1310988,1310988,-6.285057e-05,4.5806413e-05,5.3262947e-06,-0.00025006125,0.00016083504,-0.038798973,4000,4000,0,2,0
7003680000,7003680000,1310988,1310988,-5.006746e-05,3.089263e-05,-1.810952e-05,-0.00021175403,0.00026139157,-0.039364,4000,4000,0,2,0
7004180000,7004180000,1310988,1310988,-6.498113e-05,1.4913709e-05,-2.13048e-06,-0.0005660959,-6.9008325e-05,-0.039335273,4000,4000,0,2,0
7004680000,7004680000,1310988,1310988,-4.3675813e-05,-2.769689e-05,1.8109557e-05,-0.00039850178,0.0006779827,-0.03937358,4000,4000,0,2,0
7005180000,7005180000,1310988,1310988,0.00091186655,-2.1304834e-06,-4.9001967e-05,-0.0001926004,0.000859942,-0.038176477,4000,4000,0,2,0
7005680000,7005680000,1310988,1310988,1.0652725e-06,2.130528e-06,1.0652644e-05,-0.00064271037,0.0005726378,-0.03865532,4000,4000,0,2,0
7006180000,7006180000,1310988,1310988,5.965482e-05,-1.0652797e-06,5.3262697e-06,-0.0005708843,0.0004433509,-0.038885165,4000,4000,0,2,0
7006680000,7006680000,1310988,1310988,4.687164e-05,-3.515374e-05,-2.1304988e-06,-0.00039850178,0.0004385625,-0.0388277,4000,4000,0,2,0
7007180000,7007180000,1310988,1310988,-3.195793e-05,9.587385e-06,4.2611077e-06,-0.00047511622,0.00048165812,-0.039067123,4000,4000,0,2,0
7007680000,7007680000,1310988,1310988,-6.178536e-05,-5.3263334e-06,-1.1717829e-05,-0.00020696563,0.0004529277,-0.039296966,4000,4000,0,2,0
7008180000,7008180000,1310988,1310988,-2.8762173e-05,3.621897e-05,-2.130552e-06,-0.00042723224,0.0005391189,-0.039067123,4000,4000,0,2,0
7008680000,7008680000,1310988,1310988,-4.0480005e-05,-3.089272e-05,5.3263984e-06,-0.0002644265,0.00030448718,-0.039148528,4000,4000,0,2,0
7009180000,7009180000,1310988,1310988,-4.6871643e-05,5.326309e-06,-2.1305505e-06,-7.289032e-05,0.00029012197,-0.039368797,4000,4000,0,2,0
7009680000,7009680000,1310988,1310988,1.5978987e-05,-2.5566334e-05,4.261077e-06,-0.00013513956,0.00027096836,-0.03922035,4000,4000,0,2,0
7010180000,7010180000,1310988,1310988,0.0008937572,-9.800454e-05,-4.8996997e-05,-0.00013035118,0.00090303767,-0.03835365,4000,4000,0,2,0
7010680000,7010680000,1310988,1310988,-2.3435834e-05,3.941478e-05,-1.0652427e-06,-0.00026921488,0.0004577161,-0.038650535,4000,4000,0,2,0
7011180000,7011180000,1310988,1310988,6.285059e-05,-3.195738e-06,-5.0067465e-05,-0.00032667574,0.00049123494,-0.038904313,4000,4000,0,2,0
7011680000,7011680000,1310988,1310988,-0.000103330625,6.178541e-05,3.1960476e-06,-0.00027879167,0.00039067844,-0.039134156,4000,4000,0,2,0
7012180000,7012180000,1310988,1310988,-1.3848459e-05,2.6631606e-05,7.4568434e-06,-0.0002644265,0.00026139157,-0.038798973,4000,4000,0,2,0
7012680000,7012680000,1310988,1310988,-1.5979005e-05,-3.5153702e-05,3.1958778e-06,-0.0001686584,0.00042419726,-0.038947403,4000,4000,0,2,0
7013180000,7013180000,1310988,1310988,-0.00050813094,0.00026205552,2.7696751e-05,-0.00010162075,0.0007306551,-0.038042404,4000,4000,0,2,0
7013680000,7013680000,1310988,1310988,4.900222e-05,-6.391584e-05,-1.0652752e-06,-0.00013513956,0.000764174,-0.039593842,4000,4000,0,2,0
7014180000,7014180000,1310988,1310988,0.00081599265,-0.00027590359,2.769675e-05,-0.00046075103,-0.0003371589,-0.03966567,4000,4000,0,2,0
7014680000,7014680000,1310988,1310988,0.001265535,-0.0003728397,-1.5977352e-05,-0.0010880319,-0.0018933903,-0.040522795,4000,4000,0,2,0
7015180000,7015180000,1310988,1310988,0.00061039656,-0.0001502026,2.0239788e-05,-0.0021654228,-0.005446386,-0.039890725,4000,4000,0,2,0
7015680000,7015680000,1310988,1310988,0.0006178533,-5.539416e-05,-2.8764422e-05,-0.0031997182,-0.009085573,-0.03522203,4000,4000,0,2,0
7016180000,7016180000,1310988,1310988,-7.137279e-05,4.4740933e-05,-7.882961e-05,-0.0033864658,-0.010474211,-0.037506096,4000,4000,0,2,0
7016680000,7016680000,1310988,1310988,-2.3435836e-05,6.3915018e-06,-2.9827415e-05,-0.0030847962,-0.01083334,-0.03744864,4000,4000,0,2,0
7017180000,7017180000,1310988,1310988,-3.5153585e-05,-2.130708e-06,-0.00012676652,-0.0033050627,-0.011197259,-0.03744864,4000,4000,0,2,0
7017680000,7017680000,1310988,1310988,7.137272e-05,-2.024018e-05,-8.948219e-05,-0.0030752195,-0.011882001,-0.03705599,4000,4000,0,2,0
7018180000,7018180000,1310988,1310988,-0.00012144018,1.4913803e-05,-6.71116e-05,-0.0026346867,-0.011709617,-0.03728105,4000,4000,0,2,0
