timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
6970972000,1,0,1,0,0,0,0,0
6971416000,1,0,1,0,0,0,0,0
6971920000,1,0,1,0,0,0,0,0
6972424000,1,0,1,0,0,0,0,0
6972928000,1,0,1,0,0,0,0,0
6973336000,1,0,1,0,0,0,0,0
6973840000,1,0,1,0,0,0,0,0
6974356000,1,0,1,0,0,0,0,0
6974864000,1,0,1,0,0,0,0,0
6975356000,1,0,1,0,0,0,0,0
6975860000,1,0,1,0,0,0,0,0
6976364000,1,0,1,0,0,0,0,0
6976868000,1,0,1,0,0,0,0,0
6977372000,1,0,1,0,0,0,0,0
6977876000,1,0,1,0,0,0,0,0
6978380000,1,0,1,0,0,0,0,0
6978884000,1,0,1,0,0,0,0,0
6979388000,1,0,1,0,0,0,0,0
6979892000,1,0,1,0,0,0,0,0
6980312000,1,0,1,0,0,0,0,0
6980360000,1,0,1,0,0,0,0,0
6980480000,1,0,1,0,0,0,0,0
6980984000,1,0,1,0,0,0,0,0
6981488000,1,0,1,0,0,0,0,0
6981992000,1,0,1,0,0,0,0,0
6982496000,1,0,1,0,0,0,0,0
6983000000,1,0,1,0,0,0,0,0
6983504000,1,0,1,0,0,0,0,0
6984008000,1,0,1,0,0,0,0,0
6984512000,1,0,1,0,0,0,0,0
6985016000,1,0,1,0,0,0,0,0
6985520000,1,0,1,0,0,0,0,0
6986024000,1,0,1,0,0,0,0,0
6986528000,1,0,1,0,0,0,0,0
6987032000,1,0,1,0,0,0,0,0
6987536000,1,0,1,0,0,0,0,0
6988040000,1,0,1,0,0,0,0,0
6988544000,1,0,1,0,0,0,0,0
6989048000,1,0,1,0,0,0,0,0
6989552000,1,0,1,0,0,0,0,0
6990056000,1,0,1,0,0,0,0,0
6990560000,1,0,1,0,0,0,0,0
6991064000,1,0,1,0,0,0,0,0
6991568000,1,0,1,0,0,0,0,0
6992072000,1,0,1,0,0,0,0,0
6992576000,1,0,1,0,0,0,0,0
6993080000,1,0,1,0,0,0,0,0
6993584000,1,0,1,0,0,0,0,0
6994088000,1,0,1,0,0,0,0,0
6994592000,1,0,1,0,0,0,0,0
6995096000,1,0,1,0,0,0,0,0
6995600000,1,0,1,0,0,0,0,0
6996104000,1,0,1,0,0,0,0,0
6996608000,1,0,1,0,0,0,0,0
6997112000,1,0,1,0,0,0,0,0
6997616000,1,0,1,0,0,0,0,0
6998000000,1,0,1,0,0,0,0,0
6998504000,1,0,1,0,0,0,0,0
6999008000,1,0,1,0,0,0,0,0
6999512000,1,0,1,0,0,0,0,0
7000016000,1,0,1,0,0,0,0,0
7000520000,1,0,1,0,0,0,0,0
7001024000,1,0,1,0,0,0,0,0
7001528000,1,0,1,0,0,0,0,0
7002032000,1,0,1,0,0,0,0,0
7002536000,1,0,1,0,0,0,0,0
7003040000,1,0,1,0,0,0,0,0
7003544000,1,0,1,0,0,0,0,0
7004048000,1,0,1,0,0,0,0,0
7004552000,1,0,1,0,0,0,0,0
7005056000,1,0,1,0,0,0,0,0
7005560000,1,0,1,0,0,0,0,0
7006064000,1,0,1,0,0,0,0,0
7006568000,1,0,1,0,0,0,0,0
7007072000,1,0,1,0,0,0,0,0
7007576000,1,0,1,0,0,0,0,0
7008080000,1,0,1,0,0,0,0,0
7008584000,1,0,1,0,0,0,0,0
