timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
7000616000,1693023860272133,0,416066969,-863552022,241873,241873,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.06,0.03,0.03,0.03,0.8559094,0,nan,nan,0.0,0,3,0,1,10
7001604000,1693023861264133,0,416066973,-863552015,241861,241861,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.08,0.049999997,0.049999997,0.01,0.7075565,0,nan,nan,0.0,0,3,0,1,10
7002432000,1693023862092133,0,416066976,-863552009,241845,241845,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.049999997,0.02,0.04,0.04,1.0046115,0,nan,nan,0.0,0,3,0,1,10
7003628000,1693023863288133,0,416066978,-863552006,241826,241826,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.01,0.0,0.01,0.0,1.2948596,0,nan,nan,0.0,0,3,0,1,10
7004620000,1693023864276133,0,416066978,-863552004,241829,241829,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.48118725,0,nan,nan,0.0,0,3,0,1,10
7005608000,1693023865264133,0,416066977,-863552005,241827,241827,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,-0.01,-0.01,0.0,3.891037,0,nan,nan,0.0,0,3,0,1,10
7006440000,1693023866100133,0,416066975,-863552006,241796,241796,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.03,-0.04,0.02,-0.03,2.6820474,0,nan,nan,0.0,0,3,0,1,10
7007636000,1693023867296133,0,416066973,-863552008,241773,241773,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.01,0.0,-0.01,0.03,4.7036624,0,nan,nan,0.0,0,3,0,1,10
7008624000,1693023868284133,0,416066971,-863552007,241774,241774,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.03,0.0,0.02,0.03,1.7074555,0,nan,nan,0.0,0,3,0,1,10
7009608000,1693023869268133,0,416066970,-863552004,241778,241778,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,-0.01,0.02,-0.04,2.0551252,0,nan,nan,0.0,0,3,0,1,10
7010596000,1693023870256133,0,416066968,-863552003,241801,241801,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.01,-0.01,0.0,0.0,3.1983159,0,nan,nan,0.0,0,3,0,1,10
7011640000,1693023871296133,0,416066966,-863552005,241785,241785,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,-0.01,-0.01,0.02,3.9079666,0,nan,nan,0.0,0,3,0,1,10
7012628000,1693023872288133,0,416066965,-863552006,241801,241801,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.0,4.109203,0,nan,nan,0.0,0,3,0,1,10
7013616000,1693023873272133,0,416066965,-863552006,241784,241784,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,-0.01,0.0,0.07,2.9918435,0,nan,nan,0.0,0,3,0,1,10
7014604000,1693023874264133,0,416066969,-863552006,241748,241748,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.29,0.26999998,-0.01,0.0,6.240773,0,nan,nan,0.0,0,3,0,1,10
7015432000,1693023875088133,0,416067033,-863552010,241795,241795,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.5,1.5,-0.049999997,-0.089999996,6.248802,0,nan,nan,0.0,0,3,0,1,10
7016632000,1693023876288133,0,416067260,-863552018,241897,241897,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.44,2.4299998,-0.04,-0.049999997,6.2652082,0,nan,nan,0.0,0,3,0,1,10
7017616000,1693023877272133,0,416067483,-863552018,241932,241932,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.54,2.52,0.02,0.0,0.011693705,0,nan,nan,0.0,0,3,0,1,10
7018608000,1693023878268133,0,416067712,-863552014,241950,241950,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.52,2.49,0.04,0.0,0.01675516,0,nan,nan,0.0,0,3,0,1,10
7019440000,1693023879100133,0,416067899,-863552008,241966,241966,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.49,2.48,0.02,-0.049999997,0.010821042,0,nan,nan,0.0,0,3,0,1,10
7020632000,1693023880292133,0,416068161,-863552001,242019,242019,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.18,2.1699998,0.06,0.0,0.031241393,0,nan,nan,0.0,0,3,0,1,10
7021624000,1693023881284133,0,416068295,-863551993,241982,241982,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.77,0.76,0.089999996,0.0,0.122522116,0,nan,nan,0.0,0,3,0,1,10
7022616000,1693023882276133,0,416068322,-863551985,241969,241969,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,0.01,0.03,0.02,1.1454595,0,nan,nan,0.0,0,3,0,1,10
7023604000,1693023883264133,0,416068315,-863551984,241937,241937,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.14,-0.14999999,0.049999997,0.03,2.807013,0,nan,nan,0.0,0,3,0,1,10
7024436000,1693023884096133,0,416068303,-863551985,241817,241817,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.28,-0.22999999,-0.14,0.29,3.688928,0,nan,nan,0.0,0,3,0,1,10
7025632000,1693023885288133,0,416068243,-863552111,241264,241264,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.87,-0.83,-1.68,0.58,4.251098,0,nan,nan,0.0,0,3,0,1,10
7026616000,1693023886272133,0,416068161,-863552361,240617,240617,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.58,-0.98999995,-2.3799999,0.75,4.318119,0,nan,nan,0.0,0,3,0,1,10
7027608000,1693023887268133,0,416068072,-863552660,239821,239821,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.73,-0.96999997,-2.55,0.78999996,4.347615,0,nan,nan,0.0,0,3,0,1,10
