timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
6970936000,6970856000,1310988,-0.0009949073,0.00041217517,0.0003892369,0.34906584,1.3792068e-07,1.378972e-07,4.0462137e-07,1310988,-0.0038842787,-0.001969492,0.058233853,0.4,0.0007822105,0.0007822103,0.00078123936,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6971560000,6971480000,1310988,-0.0010026817,0.00040994812,0.00038812516,0.34906584,1.3791427e-07,1.3789142e-07,4.0287858e-07,1310988,-0.0038890045,-0.0019633754,0.0601409,0.4,0.000782252,0.00078225177,0.00078123936,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6971768000,6971688000,1310988,-0.0010032872,0.00041663833,0.0003871405,0.34906584,1.3790755e-07,1.3788342e-07,4.023069e-07,1310988,-0.003882753,-0.0019616352,0.057868276,0.4,0.0007822643,0.0007822641,0.00078123936,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6971976000,6971896000,1310988,-0.0010039058,0.00041469123,0.0003839171,0.34906584,1.379085e-07,1.3788527e-07,4.017417e-07,1310988,-0.0038855497,-0.0019612445,0.059460185,0.4,0.0007822785,0.0007822784,0.00078123936,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6972184000,6972104000,1310988,-0.0010072904,0.00041741403,0.00038019818,0.34906584,1.3790223e-07,1.378782e-07,4.0118218e-07,1310988,-0.00388398,-0.0019585579,0.057558972,0.4,0.000782291,0.0007822908,0.00078123936,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6972392000,6972312000,1310988,-0.001000776,0.0004207823,0.00037855975,0.34906584,1.3790522e-07,1.3788191e-07,4.0062645e-07,1310988,-0.0038807294,-0.0019618832,0.059262898,0.4,0.0007823055,0.0007823052,0.00078123936,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6973016000,6972936000,1310988,-0.0009967021,0.0004180068,0.00036881323,0.34906584,1.3790806e-07,1.378872e-07,3.9899336e-07,1310988,-0.0038824214,-0.0019644958,0.06342068,0.4,0.0007823476,0.00078234705,0.00078123936,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6973224000,6973144000,1310988,-0.0009936045,0.00041485706,0.0003696913,0.34906584,1.3790886e-07,1.3788946e-07,3.984599e-07,1310988,-0.0038838075,-0.0019676122,0.06545526,0.4,0.00078236195,0.0007823615,0.00078123936,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6973432000,6973352000,1310988,-0.0009977442,0.0004226564,0.00036683233,0.34906584,1.379122e-07,1.3789045e-07,3.9792755e-07,1310988,-0.003879374,-0.001962386,0.06765778,0.4,0.00078237616,0.0007823759,0.00078123936,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6974056000,6973976000,1310988,-0.0010131596,0.000419439,0.0003649986,0.34906584,1.3790654e-07,1.3788375e-07,3.9636976e-07,1310988,-0.0038845537,-0.0019519739,0.07008571,0.4,0.00078241806,0.00078241754,0.00078123936,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6974472000,6974392000,1310988,-0.0010212641,0.00041598818,0.0003604861,0.34906584,1.3790925e-07,1.3788672e-07,3.9535394e-07,1310988,-0.0038882291,-0.0019464967,0.07485961,0.4,0.00078244717,0.0007824464,0.00078123936,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6974680000,6974600000,1310988,-0.0010094129,0.00041897706,0.0003568248,0.34906584,1.379027e-07,1.378815e-07,3.9556576e-07,1310988,-0.0038847672,-0.001955804,0.07360077,0.4,0.00078246015,0.00078245887,0.00078123936,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6974888000,6974808000,1310988,-0.0010026132,0.000420664,0.00035507997,0.34906584,1.3790648e-07,1.3788616e-07,3.9506418e-07,1310988,-0.0038836107,-0.001960819,0.07661875,0.4,0.0007824749,0.00078247336,0.00078123936,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6975096000,6975016000,1310988,-0.0010035582,0.00042446883,0.00035291596,0.34906584,1.3789581e-07,1.378746e-07,3.9456975e-07,1310988,-0.00387993,-0.001958977,0.07327462,0.4,0.0007824862,0.0007824847,0.00078123936,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6975304000,6975224000,1310988,-0.0009986241,0.00042497672,0.00035188816,0.34906584,1.3790306e-07,1.3788267e-07,3.9407854e-07,1310988,-0.0038804412,-0.001963053,0.077429995,0.4,0.000782501,0.0007824994,0.00078123936,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6975816000,6975736000,1310988,-0.0010048246,0.0004472621,0.00035354315,0.34906584,1.3866702e-07,1.3864091e-07,3.9314915e-07,1310988,-0.003864893,-0.001954787,0.07642983,0.4,0.0007825343,0.0007825335,0.00078123936,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6976816000,6976736000,1310988,-0.0009949127,0.00046207494,0.00034278602,0.34906584,1.4327507e-07,1.4324901e-07,3.9048618e-07,1310988,-0.0038551237,-0.0019601719,0.076656915,0.4,0.00078260404,0.00078260317,0.00078124047,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
6977816000,6977736000,1310988,-0.000995485,0.0004662006,0.00034420253,0.34906584,1.5038819e-07,1.5036194e-07,3.8863973e-07,1310988,-0.0038207336,-0.0019618943,0.075689875,0.4,0.00078263297,0.00078263204,0.0007812422,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
6978816000,6978736000,1310988,-0.0009989876,0.00046916536,0.00033469623,0.34906584,1.5498004e-07,1.5495489e-07,3.8827338e-07,1310988,-0.0037983,-0.0019175363,0.076083526,0.4,0.0007822969,0.00078229693,0.00078123936,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
6979816000,6979736000,1310988,-0.0009979378,0.0004743284,0.00033474123,0.34906584,1.5843403e-07,1.5841003e-07,3.962673e-07,1310988,-0.0039024206,-0.0018136326,0.07646361,0.4,0.00078123936,0.00078123936,0.00078123936,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
6980808000,6980728000,1310988,-0.0009942768,0.0004778999,0.00033482662,0.34906584,1.6387439e-07,1.6385066e-07,4.041744e-07,1310988,-0.004202355,-0.0009869775,0.07556593,0.4,0.00078123936,0.00078123936,0.00078123936,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
6981224000,6981144000,1310988,-0.0009937263,0.00048127974,0.0003350755,0.34906584,1.6624104e-07,1.6621725e-07,4.0748478e-07,1310988,-0.004717539,-0.0007859416,0.074339494,0.4,0.00078123936,0.00078123936,0.00078123936,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
6982000000,6981920000,1310988,-0.0009902371,0.0004883406,0.00033547354,0.34906584,1.712844e-07,1.7125703e-07,4.1363435e-07,1310988,-0.006077588,8.791328e-05,0.07413275,0.4,0.00078123936,0.00078123936,0.00078123936,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
6982624000,6982544000,1310988,-0.0009916198,0.0004939585,0.0003364045,0.34906584,1.7534596e-07,1.7529219e-07,4.1855301e-07,1310988,-0.0071346937,-0.0001276791,0.07393583,0.4,0.00078123936,0.00078123936,0.00078123936,197644,-4.413798e-06,-0.00021280728,0.0016913206,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
6982680000,6982600000,1310988,-0.0009916202,0.00049395795,0.0003364045,0.34906584,1.7579396e-07,1.757402e-07,4.1900103e-07,1310988,-0.0071348827,-0.00012761763,0.073958784,0.4,0.00078124326,0.0007812434,0.00078123936,197644,0.0013976995,-0.00049778994,0.00077116437,0.5,0.0014141025,0.0015542791,0.0016313695,1,0,1,0,1,0
