timestamp,nav_state_timestamp,failsafe_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,armed_time,takeoff_time,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
6970972000,6904724000,0,807960620,271089676,271482927,6970972000,0,18,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6971416000,6904724000,0,807960620,271089676,271482927,6970972000,0,18,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6971920000,6904724000,0,807960620,271089676,271482927,6970972000,0,18,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6972424000,6904724000,0,807960620,271089676,271482927,6970972000,0,18,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6972928000,6904724000,0,807960620,271089676,271482927,6970972000,0,18,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6973336000,6973336000,0,807960620,271089676,271482927,6970972000,0,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6973840000,6973336000,0,807960620,271089676,271482927,6970972000,0,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6974356000,6973336000,0,807960620,271089676,271482927,6970972000,0,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6974864000,6973336000,0,807960620,271089676,271482927,6970972000,0,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6975356000,6973336000,0,807960620,271089676,271482927,6970972000,0,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6975860000,6973336000,0,807960620,271089676,271482927,6970972000,0,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6976364000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6976868000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6977372000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6977876000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6978380000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6978884000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6979388000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6979892000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6980312000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6980360000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6980480000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6980984000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6981488000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6981992000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6982496000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6983000000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6983504000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6984008000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6984512000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6985016000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6985520000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6986024000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6986528000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6987032000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6987536000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6988040000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6988544000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6989048000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6989552000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6990056000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6990560000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6991064000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6991568000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6992072000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6992576000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6993080000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6993584000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6994088000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6994592000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6995096000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6995600000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6996104000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6996608000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6997112000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
