timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
6971388000,6971388000,1032000,41.606704,-86.3556021,-0.6452646,-1.3878387,0.11215177,0.00034699737,0.00016040793,0.0,-0.0007838596,-0.0025691278,0.00041573762,-0.0008901513,-0.0007508912,-0.012191404,-0.016614985,0.052456807,-0.010714208,0.046395633,-1.0533091,0.009620015,229.39903,0.1,0.08485687,0.10244355,0.009056167,0.006442388,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6971884000,6971884000,1032000,41.606704,-86.3556021,-0.6460303,-1.3872167,0.110346854,0.00034699737,0.00016040793,0.0,-0.0015598581,-0.0015332728,0.0010356134,-8.048617e-05,-0.0007508912,-0.012191404,-0.016614985,0.019820662,-0.020495629,0.60067505,-1.0526533,0.009620015,229.39903,0.10045411,0.084577456,0.102061175,0.015852915,0.011401589,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6972388000,6972388000,1032000,41.606704,-86.3556021,-0.6457433,-1.3865421,0.11080002,0.00034699737,0.00016040793,0.0,0.0004458807,0.00047679333,0.00056698977,0.00037477142,-0.0007508912,-0.012191404,-0.016614985,-0.033399258,-0.051446248,-0.13503996,-1.0524611,0.009620015,229.39903,0.10044894,0.084297575,0.10172436,0.0014142136,0.001,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6972892000,6972892000,1032000,41.606704,-86.3556021,-0.6452559,-1.3869679,0.11192988,0.00034699737,0.00016040793,0.0,0.0025214662,-0.00068279397,0.0022161365,0.002128481,-0.0007508912,-0.012191404,-0.016614985,-0.019651562,0.08956209,0.039973233,-1.0520365,0.009620015,229.39903,0.10008663,0.08402059,0.10134862,0.013492513,0.009664792,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6973388000,6973388000,1032000,41.606704,-86.3556021,-0.6452426,-1.3871707,0.112914234,0.00034699737,0.00016040793,0.0,-0.002066135,-0.0007414556,0.00518926,0.0040777572,-0.0007508912,-0.012191404,-0.016614985,-0.043120716,-0.0245522,0.45216447,-1.0518554,0.009620015,229.39903,0.1,0.08375997,0.10102505,0.01894851,0.013708045,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6973884000,6973884000,1032000,41.606704,-86.3556021,-0.6459663,-1.3876171,0.11146514,0.00034699737,0.00016040793,0.0,-0.0024169097,-0.0033369116,0.00056961656,-0.00087633746,-0.0007508912,-0.012191404,-0.016614985,-0.0061236722,-0.08593018,-0.022963682,-1.0519091,0.009620015,229.39903,0.1,0.08333237,0.100651994,0.009055656,0.006442389,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6974388000,6974388000,1032000,41.606704,-86.3556021,-0.6469345,-1.3877543,0.112274855,0.00034699737,0.00016040793,0.0,-0.0016778063,-0.0034736176,0.008112843,0.0066700266,-0.0007508912,-0.012191404,-0.016614985,-0.04830373,-0.068525776,0.006478216,-1.0520332,0.009620015,229.39903,0.1,0.08321445,0.10029059,0.016398143,0.011807213,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6974892000,6974892000,1032000,41.606704,-86.3556021,-0.6447246,-1.3861876,0.11133087,0.00034699737,0.00016040793,0.0,0.0033125964,0.0027872187,0.00021564824,-0.0015512108,-0.0007508912,-0.012191404,-0.016614985,0.07536774,0.015669076,0.017964216,-1.0517893,0.009620015,229.39903,0.1,0.082805544,0.09997091,0.0042143855,0.0029834488,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6975388000,6975388000,1032000,41.606704,-86.3556021,-0.6451123,-1.3858666,0.11091446,0.00034699737,0.00016040793,0.0,-0.0015154055,0.0029367073,0.0018279026,0.0009502079,-0.0007508912,-0.012191404,-0.016614985,0.006646104,-0.003154136,0.122457676,-1.0514988,0.009620015,229.39903,0.10037724,0.08254435,0.09961478,0.013495455,0.009664784,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6975884000,6975884000,1032000,41.606704,-86.3556021,-0.646447,-1.3850284,0.11068884,0.00034699737,0.00016040793,0.0,-0.00046702637,0.0073505314,-0.0015759898,-0.0018384978,-0.0007508912,-0.012191404,-0.016614985,0.04527153,-0.0052575595,-0.63707125,-1.0518097,0.009620015,229.39903,0.10082022,0.082299404,0.09930845,0.018941414,0.0137059335,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6976388000,6976388000,1032000,41.606704,-86.3556021,-0.64614356,-1.385973,0.11025039,0.00034699737,0.00016040793,0.0,-0.001038643,0.00316026,8.540918e-05,9.735097e-05,-0.0007508912,-0.012191404,-0.016614985,-0.073021546,-0.0405411,0.885981,-1.0515639,0.009620015,229.39903,0.100871526,0.08209207,0.09898111,0.023853699,0.01741642,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6976884000,6976884000,1032000,41.606704,-86.3556021,-0.6474317,-1.3853356,0.1107688,0.00034699737,0.00016040793,0.0,-0.00748026,0.0061870785,0.0027615784,0.0029688382,-0.0007508912,-0.012191404,-0.016614985,-0.09316073,0.09190733,2.0587387,-1.0516297,0.009620015,229.39903,0.100353114,0.083844334,0.09962484,0.04542931,0.034262247,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6977388000,6977388000,1032000,41.606704,-86.3556021,-0.6535973,-1.3748138,0.077943675,0.00034699737,0.00016040793,0.0,-0.020013137,0.043894473,-0.34069324,-0.34050834,-0.0007508912,-0.012191404,-0.016614985,-0.09590157,0.17914402,-1.9673601,-1.0582974,0.009620015,229.39903,0.13403764,0.09212756,0.10366209,0.06494675,0.049182788,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6977892000,6977892000,1032000,41.606704,-86.3556021,-0.6595771,-1.3511622,-0.3486189,0.00034699737,0.00016040793,0.0,-0.0073302314,0.027658971,-1.3611516,-1.3593162,-0.0007508912,-0.012191404,-0.016614985,0.019848587,-0.09433347,-2.0284781,-1.0577404,0.009620015,229.39903,0.5606002,0.10993094,0.11373691,0.08441461,0.06249979,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6978388000,6978388000,1032000,41.606704,-86.3556021,-0.657724,-1.3458929,-1.0667127,0.00034699737,0.00016040793,0.0,0.0057106726,-0.0038376437,-1.2175366,-1.2161942,-0.0007508912,-0.012191404,-0.016614985,0.035371646,-2.5201178e-05,1.175463,-1.0569195,0.009620015,229.39903,1.278694,0.14016774,0.13179001,0.10251388,0.0756365,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6978892000,6978892000,1032000,41.606704,-86.3556021,-0.65312874,-1.3501573,-1.5460504,0.00034699737,0.00016040793,0.0,0.0037662752,-0.010449867,-0.71746606,-0.719083,-0.0007508912,-0.012191404,-0.016614985,0.013680968,-0.0051657376,0.63854444,-1.0486013,0.0062540774,229.39903,1.7580317,0.17032985,0.15537684,0.10571758,0.085519955,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,0,1,1,1,0
6979388000,6979388000,1032000,41.606704,-86.3556021,-0.65080905,-1.3575196,-1.829788,0.00034699737,0.00016040793,0.0,0.0028252343,-0.0121019995,-0.44327208,-0.44586056,-0.0007508912,-0.012191404,-0.016614985,-0.05060168,0.018223086,0.5748373,-1.0491151,0.0062540774,229.39903,2.0417693,0.2085947,0.18673503,0.11499803,0.096823245,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,0,1,1,1,0
6979892000,6979892000,1032000,41.606704,-86.3556021,-0.6492477,-1.3624555,-2.007695,0.00034699737,0.00016040793,0.0,-0.001984324,-0.006654667,-0.28388843,-0.28557032,-0.0007508912,-0.012191404,-0.016614985,-0.13154656,-0.0761246,-0.9329142,-1.0482183,0.0062540774,229.39903,2.2196763,0.23141707,0.21516414,0.12097738,0.1020753,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,1,0
6980388000,6980388000,1032000,41.606704,-86.3556021,-0.64801705,-1.3656212,-2.1186826,0.00034699737,0.00016040793,0.0,-0.0051710466,0.00072889205,-0.17866355,-0.1784915,-0.0007508912,-0.012191404,-0.016614985,-0.0658168,0.05143729,0.72100466,-1.047743,0.0062540774,229.39903,2.330664,0.25830674,0.24582408,0.1337522,0.10770702,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,1,0
6980884000,6980884000,1032000,41.606704,-86.3556021,-0.65235084,-1.3655103,-2.0919003,0.00034699737,0.00016040793,0.0,-0.006013119,0.015983598,0.07061235,0.07650469,-0.0007508912,-0.012191404,-0.016614985,0.040018573,0.09292481,-0.29939044,-1.0478294,0.0062540774,229.39903,2.3038816,0.2825,0.27552414,0.14381398,0.11185737,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,1,0
6981388000,6981388000,1032000,41.606704,-86.3556021,-0.6533672,-1.3465286,-2.1048353,0.00034699737,0.00016040793,0.0,-0.0064007235,0.14552361,-0.20646697,-0.19164126,-0.0007508912,-0.012191404,-0.016614985,0.0036595478,0.5562705,-0.67159724,-1.0501935,0.0062540774,229.39903,2.3168166,0.30453783,0.30357254,0.15305492,0.11481243,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,0,0
