timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
6970824000,6970702000,0.00079411065,0.00048669663,0.0029325106,1,0,0,0,0,0,0,0,0,0,0
6971032000,6970910000,0.00035099886,0.0002767468,0.0029101344,1,0,0,0,0,0,0,0,0,0,0
6971240000,6971118000,0.00081499555,0.00032894596,0.0031646355,1,0,0,0,0,0,0,0,0,0,0
6971448000,6971326000,0.00034135228,0.00047763015,0.003098811,1,0,0,0,0,0,0,0,0,0,0
6971808000,6971690000,0.0003290636,0.00096060894,0.0036746685,1,0,0,0,0,0,0,0,0,0,0
6972016000,6971898000,0.00081063324,6.007086e-05,0.003801433,1,0,0,0,0,0,0,0,0,0,0
6972224000,6972102000,0.0007940964,0.00025818372,0.0037238835,1,0,0,0,0,0,0,0,0,0,0
6972432000,6972314000,0.00035274893,0.0011521584,0.0034402881,1,0,0,0,0,0,0,0,0,0,0
6972640000,6972522000,0.0008118887,0.000928899,0.0033687302,1,0,0,0,0,0,0,0,0,0,0
6973008000,6972886000,0.0010651128,0.0006043174,0.0035980523,1,0,0,0,0,0,0,0,0,0,0
6973216000,6973094000,0.0010429583,0.00019121313,0.0033217992,1,0,0,0,0,0,0,0,0,0,0
6973424000,6973302000,0.00077004766,1.3518377e-05,0.0033122886,1,0,0,0,0,0,0,0,0,0,0
6973632000,6973510000,0.00078254973,0.00028742454,0.0034414097,1,0,0,0,0,0,0,0,0,0,0
6973840000,6973718000,0.0003952543,0.00038150972,0.0032434976,1,0,0,0,0,0,0,0,0,0,0
6974048000,6973926000,0.000772979,0.00092707004,0.0029840383,1,0,0,0,0,0,0,0,0,0,0
6974416000,6974298000,0.0007823104,0.00039317866,0.0028730321,1,0,0,0,0,0,0,0,0,0,0
6974624000,6974502000,0.00040895614,0.00068471587,0.0028144224,1,0,0,0,0,0,0,0,0,0,0
