timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,parachute_system_healthy
6971400000,4000000.0,1.0,16469.123,0.0,2568061,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6972652000,4000000.0,1.0,16624.502,0.0,2568520,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6973912000,4000000.0,1.0,16355.578,0.0,2568982,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6974912000,4000000.0,1.0,16343.626,0.0,2569351,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6975168000,4000000.0,1.0,16343.626,0.0,2569443,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6976420000,4000000.0,1.0,16410.36,0.0,2569916,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6977676000,4000000.0,1.0,16583.666,0.0,2570375,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6978928000,4000000.0,1.0,16360.559,0.0,2570832,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6979928000,4000000.0,1.0,16337.649,0.0,2571199,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6980188000,4000000.0,1.0,16337.649,0.0,2571292,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6981444000,4000000.0,1.0,16495.02,0.0,2571767,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6982700000,4000000.0,1.0,16605.578,0.0,2572229,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6983952000,4000000.0,1.0,16337.649,0.0,2572683,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6984952000,4000000.0,1.0,16360.559,0.0,2573053,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6985204000,4000000.0,1.0,16360.559,0.0,2573145,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6986456000,4000000.0,1.0,16400.398,0.0,2573615,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6987708000,4000000.0,1.0,16558.766,0.0,2574070,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6988708000,4000000.0,1.0,16389.443,0.0,2574439,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
