timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
6970976000,nan,nan,nan,-1.0531324,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6970984000,nan,nan,nan,-1.0531324,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6971072000,nan,nan,nan,-1.0531505,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6971176000,nan,nan,nan,-1.053055,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6971272000,nan,nan,nan,-1.0529152,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6971368000,nan,nan,nan,-1.0528346,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6971472000,nan,nan,nan,-1.0526627,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6971576000,nan,nan,nan,-1.0523645,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6971672000,nan,nan,nan,-1.052239,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6971768000,nan,nan,nan,-1.0521505,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6971872000,nan,nan,nan,-1.0521767,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6971976000,nan,nan,nan,-1.0522666,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6972072000,nan,nan,nan,-1.0521731,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6972168000,nan,nan,nan,-1.052194,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6972272000,nan,nan,nan,-1.0522838,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6972376000,nan,nan,nan,-1.0520352,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6972472000,nan,nan,nan,-1.0518235,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6972576000,nan,nan,nan,-1.0517983,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6972672000,nan,nan,nan,-1.0516646,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6972776000,nan,nan,nan,-1.0515325,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6972872000,nan,nan,nan,-1.0515724,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6972968000,nan,nan,nan,-1.051502,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6973072000,nan,nan,nan,-1.051576,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6973168000,nan,nan,nan,-1.051476,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6973272000,nan,nan,nan,-1.0515015,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6973368000,nan,nan,nan,-1.0514128,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6973472000,nan,nan,nan,-1.0513698,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6973576000,nan,nan,nan,-1.0513719,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6973672000,nan,nan,nan,-1.0512155,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6973768000,nan,nan,nan,-1.0512985,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6973872000,nan,nan,nan,-1.0514098,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6973976000,nan,nan,nan,-1.0514835,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6974072000,nan,nan,nan,-1.0516144,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6974176000,nan,nan,nan,-1.0515903,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6974272000,nan,nan,nan,-1.0515215,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6974368000,nan,nan,nan,-1.0515501,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6974472000,nan,nan,nan,-1.0515082,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6974568000,nan,nan,nan,-1.051427,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6974672000,nan,nan,nan,-1.0513391,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6974776000,nan,nan,nan,-1.0513085,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6974872000,nan,nan,nan,-1.0513331,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6974968000,nan,nan,nan,-1.0511615,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6975072000,nan,nan,nan,-1.0511652,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6975176000,nan,nan,nan,-1.0510063,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6975272000,nan,nan,nan,-1.0509669,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6975368000,nan,nan,nan,-1.0509089,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6975472000,nan,nan,nan,-1.0510329,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
6975576000,-0.6560499,-1.3718549,0.10572815,-1.0510625,0.0,-0.009557861,0.012989527,2.2626715,-0.016594077,0.020766415,9.506282,0.0,0.0,0.0,-2.578034e-05,3.226243e-05,-0.015314525
6975672000,-0.6560499,-1.3718549,0.0962677,-1.0510961,0.0,-0.009194842,0.012761104,2.0882185,-0.0043851784,0.01784905,9.225471,0.0,0.0,0.0,-1.3369699e-05,5.4418866e-05,-0.029631916
6975768000,-0.6560499,-1.3718549,0.067840576,-1.0511682,0.0,-0.008911324,0.012527471,1.9137651,-0.017983442,0.012218493,8.912152,0.0,0.0,0.0,-8.339853e-05,5.666348e-05,-0.045606703
6975872000,-0.6560499,-1.3718549,0.035858154,-1.0512065,0.0,-0.009025591,0.012298143,1.7247741,-0.023769628,0.008272549,8.547607,0.0,0.0,0.0,-0.00015523878,5.4027798e-05,-0.064193316
6975976000,-0.6560499,-1.3718549,-0.035247803,-1.0514652,0.0,-0.009292859,0.01208365,1.5357832,-0.02712967,0.015535399,8.135384,0.0,0.0,0.0,-0.0002353839,0.00013478906,-0.08521088
6976072000,-0.6560499,-1.3718549,-0.10179138,-1.0514846,0.0,-0.009451181,0.012120568,1.3613299,-0.014602195,0.02254499,7.7092633,0.0,0.0,0.0,-0.00016057352,0.00024791673,-0.10693697
6976168000,-0.6560499,-1.3718549,-0.22694397,-1.0511806,0.0,-0.009527793,0.012408786,1.1868767,-0.018243846,0.026579572,7.2640104,0.0,0.0,0.0,-0.0002403011,0.00035009618,-0.12963855
6976272000,-0.6560499,-1.3718549,-0.3242798,-1.0510907,0.0,-0.009490138,0.0128125185,0.9978863,-0.014513134,0.027644625,6.73573,0.0,0.0,0.0,-0.00023167273,0.00044129032,-0.15657334
6976368000,-0.6560499,-1.3718549,-0.48628235,-1.051011,0.0,-0.009449085,0.013174576,0.823434,-0.015509483,0.021429183,6.226138,0.0,0.0,0.0,-0.00028862924,0.00039879396,-0.1825553
6976472000,-0.6560499,-1.3718549,-0.60528564,-1.0509466,0.0,-0.009430513,0.013336861,0.63444406,-0.017306415,0.025289454,5.6029005,0.0,0.0,0.0,-0.00037613502,0.0005496372,-0.21433158
6976568000,-0.6560499,-1.3718549,-0.78334045,-1.0510249,0.0,-0.009374795,0.013375139,0.4599918,-0.014106956,0.019473223,5.0208044,0.0,0.0,0.0,-0.00034949314,0.00048243982,-0.24401022
6976672000,-0.6560499,-1.3718549,-0.90367126,-1.0512363,0.0,-0.009267661,0.013328141,0.27100188,-0.017367842,0.022062084,4.3365393,0.0,0.0,0.0,-0.00049477204,0.00062850077,-0.27889803
6976768000,-0.6560499,-1.3718549,-1.0843811,-1.0511487,0.0,-0.008953905,0.013054078,0.09654962,-0.0061875624,0.024411477,3.66112,0.0,0.0,0.0,-0.00019712897,0.000777723,-0.31333482
6976872000,-0.6560499,-1.3718549,-1.2049713,-1.0512857,0.0,-0.008344003,0.012658387,-0.09244032,0.0027343244,0.022513146,2.915306,0.0,0.0,0.0,9.702185e-05,0.0007988325,-0.35136077
6976968000,-0.6560499,-1.3718549,-1.3859253,-1.0512304,0.0,-0.0074807075,0.012193161,-0.26689258,0.013506599,0.019281704,2.1724725,0.0,0.0,0.0,0.0005397262,0.00077050045,-0.38923472
6977072000,-0.6560499,-1.3718549,-1.506485,-1.051345,0.0,-0.0063474835,0.011462932,-0.45588252,0.03008149,-0.029757945,1.3497286,0.0,0.0,0.0,0.001326142,-0.0013118786,-0.431183
6977168000,-0.6560499,-1.3718549,-1.6865387,-1.054397,0.0,-0.005139628,0.009878241,-0.6303348,0.025435625,-0.053577125,0.6229782,0.0,0.0,0.0,0.0012148496,-0.0025589366,-0.46823695
6977272000,-0.6560499,-1.3718549,-1.8002014,-1.0585597,0.0,-0.0043329564,0.006853819,-0.81932473,0.043292258,-0.0654986,0.16066289,0.0,0.0,0.0,0.0021718084,-0.0032858164,-0.49180847
6977368000,-0.6560499,-1.3718549,-1.9615936,-1.0576754,0.0,-0.002888921,0.0036375523,-0.993777,0.066607006,-0.15226026,0.022405863,0.0,0.0,0.0,0.0033877962,-0.0077443314,-0.49885762
6977472000,-0.6560499,-1.3718549,-2.0578766,-1.0576259,0.0,-0.00094070134,-0.0010534405,-1.1827669,0.07374928,-0.22043063,-0.03745985,0.0,0.0,0.0,0.003774633,-0.011282072,-0.5019099
6977576000,-0.6560499,-1.3718549,-2.1811218,-1.0574223,0.0,0.00085117813,-0.006572962,-1.3717569,0.06834291,-0.2559364,-0.08486104,0.0,0.0,0.0,0.0035147571,-0.013162364,-0.5043267
