timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
6971292000,6971212000,0.090099595,0.090099595,0.20260243,1.0036129,1.0036129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.260521,0.0,0.0,nan,0.0,0.0,0.09034593,0.0025456785,0.0025548418,0.0025291636,0.0,0.0,0.0,0.0,0.0,0.0
6971788000,6971708000,0.09009964,0.09009964,0.20260243,1.0036006,1.0036006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.260445,0.0,0.0,nan,0.0,0.0,0.09034569,0.0025456785,0.0025548418,0.0025291636,0.0,0.0,0.0,0.0,0.0,0.0
6972284000,6972204000,0.090041,0.090041,0.20254152,1.003565,1.003565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.260365,0.0,0.0,nan,0.0,0.0,0.090345144,0.0025456785,0.0025548418,0.0025291636,0.0,0.0,0.0,0.0,0.0,0.0
6972788000,6972708000,0.090041004,0.090041004,0.20254152,1.0035414,1.0035412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.260298,0.0,0.0,nan,0.0,0.0,0.090344734,0.0025456785,0.0025548418,0.0025291636,0.0,0.0,0.0,0.0,0.0,0.0
6973292000,6973212000,0.0902168,0.09021681,0.20272852,1.0035206,1.0035206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2602215,0.0,0.0,nan,0.0,0.0,0.09034433,0.0025456785,0.0025548418,0.0025291636,0.0,0.0,0.0,0.0,0.0,0.0
6973788000,6973708000,0.09021685,0.09021685,0.20272852,1.0034975,1.0034975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.260156,0.0,0.0,nan,0.0,0.0,0.09034393,0.0025456785,0.0025548418,0.0025291636,0.0,0.0,0.0,0.0,0.0,0.0
6974292000,6974212000,0.09021678,0.090216786,0.20272852,1.0034748,1.0034748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.260084,0.0,0.0,nan,0.0,0.0,0.0903438,0.0025456785,0.0025548418,0.0025291636,0.0,0.0,0.0,0.0,0.0,0.0
6974788000,6974708000,0.09016141,0.09016141,0.20266822,1.0034517,1.0034516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.26001,0.0,0.0,nan,0.0,0.0,0.09034353,0.0025456785,0.0025548418,0.0025291636,0.0,0.0,0.0,0.0,0.0,0.0
6975292000,6975212000,0.0901613,0.09016131,0.20266822,1.0034186,1.0034186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.259948,0.0,0.0,nan,0.0,0.0,0.09034326,0.0025456785,0.0025548418,0.0025291636,0.0,0.0,0.0,0.0,0.0,0.0
6975788000,6975708000,0.09010823,0.09010823,0.20261152,1.0034077,1.0034077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.259885,0.0,0.0,nan,0.0,0.0,0.09034311,0.0025456785,0.0025548418,0.0025291636,0.0,0.0,0.0,0.0,0.0,0.0
