timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
6970976000,6970976000,-2.400282,0.38347673,-0.08282986
6970980000,6970980000,-0.40259796,0.26517677,-0.17884591
6970988000,6970988000,0.45619488,-0.14055526,0.110199295
6970996000,6970996000,-0.11256424,0.13735144,-0.27028263
6971008000,6971008000,1.1832125,-0.04944091,0.31937388
6971016000,6971016000,0.38618422,-0.055425722,-0.05742598
6971028000,6971028000,-0.06369722,-0.06046327,-0.3516313
6971036000,6971036000,0.63120806,-0.07326497,-0.07507381
6971048000,6971048000,0.9878748,-0.03593922,0.4756108
6971056000,6971056000,-1.2662114,0.023976283,-0.37237182
6971068000,6971068000,-0.16527013,-0.0050243377,-0.03693901
6971076000,6971076000,0.3561241,0.18783079,0.15483502
6971088000,6971088000,0.605318,-0.27059844,-0.22283964
6971096000,6971096000,-1.0539677,0.26885608,0.13054301
6971108000,6971108000,-0.4220252,0.17827456,0.33608267
6971116000,6971116000,-0.3520581,-0.17065454,0.2902487
6971128000,6971128000,0.24844427,0.19785498,0.20992263
6971136000,6971136000,-1.3340039,0.15778093,-0.4379357
6971148000,6971148000,1.8580105,-0.11889622,-0.28391895
6971156000,6971156000,-1.2025324,0.08362902,-0.029744023
6971168000,6971168000,0.9205189,0.23361133,0.15188795
6971176000,6971176000,1.1329114,-0.51884115,0.18690231
6971188000,6971188000,-1.5511868,0.08505419,0.047230717
6971196000,6971196000,-0.18162797,0.11898542,0.37865043
6971208000,6971208000,0.054267786,-0.027113838,-0.378203
6971212000,6971212000,0.88383764,0.026816564,-0.31039676
6971224000,6971224000,-1.2357962,-0.21645428,-0.25897244
6971236000,6971236000,1.0493631,-0.086739786,-0.079441465
6971248000,6971248000,-1.3820066,0.3343191,0.09150615
6971256000,6971256000,-0.26652497,-0.45388857,0.06537837
6971268000,6971268000,1.6215535,0.26114926,0.1877993
6971276000,6971276000,-1.8347571,0.15762591,0.20681788
6971288000,6971288000,0.24718957,-0.32960942,-0.38577747
6971296000,6971296000,0.5267653,-0.17754327,-0.055007014
6971308000,6971308000,-1.5649307,0.69273186,-0.18071628
6971316000,6971316000,-0.18910067,-0.37625048,-0.36236948
6971324000,6971324000,1.6731824,-0.08720266,0.19141841
6971332000,6971332000,-0.79908407,-0.050822925,-0.11760417
6971348000,6971348000,1.3975898,-0.46332905,0.16378787
6971352000,6971352000,1.0753895,-0.1657042,0.24705309
6971364000,6971364000,-1.2529143,0.12260468,-0.11584746
6971376000,6971376000,1.0444901,-0.048812054,-0.048774917
6971384000,6971384000,0.121618465,0.25562242,0.11826949
6971392000,6971392000,0.2952963,-0.6325787,-0.17773923
6971404000,6971404000,-1.1111342,-0.078773886,-0.10434178
6971412000,6971412000,0.1548801,0.1974427,0.29053068
6971428000,6971428000,1.6827803,0.011184604,-0.640662
6971432000,6971432000,0.022173425,0.013873651,-0.7889669
6971448000,6971448000,1.0989265,0.12899858,0.4913742
6971456000,6971456000,-0.4579087,-0.12457512,-0.23410875
6971468000,6971468000,-0.0013917146,0.0058460874,0.26925012
6971472000,6971472000,-0.002721579,-0.10564181,0.43871206
6971488000,6971488000,0.9636624,-0.20572852,-0.10358919
6971496000,6971496000,-0.77876973,0.01816766,-0.14586712
6971508000,6971508000,-0.57476705,-0.034387138,-0.2640776
6971516000,6971516000,-0.39986587,-0.48958027,0.43130198
6971528000,6971528000,1.4274518,0.20467624,0.10536454
6971532000,6971532000,0.9034756,0.37324092,-0.7670349
6971544000,6971544000,0.17877957,0.08058378,-0.1283296
6971556000,6971556000,-0.3274189,0.18389577,0.1633325
6971568000,6971568000,-0.5311152,-0.16894926,0.12387597
6971572000,6971572000,-1.6177832,0.14428152,0.4993725
6971584000,6971584000,1.962833,-0.30292547,-0.47636214
6971596000,6971596000,0.019004118,-0.060936082,-0.20018618
6971608000,6971608000,0.50857997,-0.2298185,0.33464432
6971616000,6971616000,0.68462384,-0.10546131,-0.34324366
6971628000,6971628000,-1.2830305,-0.35018313,0.10078508
6971632000,6971632000,-0.45752534,-0.3231535,0.04692109
6971648000,6971648000,-0.022941709,0.14435653,0.052935082
6971656000,6971656000,0.39590752,0.17915578,-0.42574885
6971664000,6971664000,-0.26947385,-0.06799147,-0.35692284
6971676000,6971676000,-1.0924932,0.068870954,0.18638708
6971688000,6971688000,0.72183925,-0.08028016,-0.21480966
6971696000,6971696000,-1.2623105,0.1411322,0.45707077
6971708000,6971708000,1.9479859,0.06536599,-0.027212001
6971716000,6971716000,-1.546079,0.12391886,-0.06350075
6971728000,6971728000,1.2421253,-0.30401054,0.63134354
6971736000,6971736000,0.14154321,-0.15040337,0.29151872
6971748000,6971748000,0.19696575,-0.08550088,0.19974996
6971756000,6971756000,0.3931487,-0.01109034,-0.21547888
6971768000,6971768000,0.1218933,0.34648192,0.25900844
6971776000,6971776000,0.12568623,-0.10132446,0.008133671
6971788000,6971788000,0.08763192,0.09076935,-0.34986898
6971796000,6971796000,0.43062386,-0.3529389,0.16675086
6971808000,6971808000,-0.16776794,0.110060535,0.023575766
6971816000,6971816000,0.6419093,-0.07594381,0.022965407
6971828000,6971828000,1.7315899,-0.058889013,-0.33723402
6971836000,6971836000,-1.0396098,0.20498313,-0.0431798
