timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
6992444000,6992364000,-1.3172812,0.12543945,-1.3789465,-1.193676,-1.368828,0.18503535,2.7466705,0.015415651,0.09073394,-0.0070755724,0.5063032,-0.40415028,-0.5416602,-0.54835474,-0.5405618,-0.06988025,0.2381289,0.041769855,0.3439132,0.5973026,0.0025125325,0.014501782
6993444000,6993364000,-1.3343294,0.13274044,-1.3935049,-1.2080086,-1.3840936,0.17138322,2.7318275,0.030304493,0.09416495,0.014745774,0.42716518,-0.32669872,-0.46051145,-0.46273112,-0.45964217,-0.061392546,0.17384505,0.041936733,0.33834365,0.6008777,0.0026646957,0.01617719
6994444000,6994364000,-1.3488822,0.1387218,-1.4064054,-1.2205968,-1.3974407,0.15906651,2.7178495,0.03540523,0.087965935,0.025744384,0.33465832,-0.278107,-0.33082438,-0.3275082,-0.33008242,0.009542704,0.16015005,0.041979246,0.33480638,0.6028872,0.0028270727,0.01749999
6995444000,6995364000,-1.3535997,0.13205527,-1.4114174,-1.2259514,-1.402595,0.1517631,2.714963,0.015497677,0.08544924,0.010241251,0.40560585,-0.3523209,-0.2919774,-0.28676152,-0.29146028,0.12398887,0.33175898,0.042094313,0.3334899,0.60534006,0.002715981,0.01635971
6996444000,6996364000,-1.3452548,0.041385423,-1.4065255,-1.2388725,-1.3977313,0.059030935,2.798233,-0.069668055,0.16865651,-0.06381495,1.3978403,-1.0551517,-0.07881856,-0.081285655,-0.079540014,1.0931394,2.094129,0.043409366,0.33266458,0.6234601,0.00023495256,0.00023093453
6997444000,6997364000,-1.3570495,0.030886179,-1.4034977,-1.2741759,-1.3957919,-0.15874861,2.9759588,-0.03569817,0.14807636,-0.029199217,1.3481361,-1.2178075,0.2991621,0.29890418,0.298738,1.2015553,2.2285087,0.044210378,0.32151026,0.6341329,7.3217394e-05,7.3217394e-05
6998444000,6998364000,-1.3696545,0.027392145,-1.4074912,-1.301058,-1.400345,-0.28383997,3.0719514,0.021235054,0.07670553,0.022211898,0.52932304,-0.575099,0.72350097,0.72807175,0.7238685,1.0471556,1.3603967,0.044868134,0.31248745,0.64246947,8.748468e-05,8.748468e-05
6999444000,6999364000,-1.3766407,0.02724973,-1.4124293,-1.3114207,-1.4052749,-0.2987343,3.073615,0.07682532,0.0648283,0.07401709,-0.02316063,0.03670298,0.93394226,0.94031584,0.93464804,0.9454542,0.735435,0.045160312,0.30888432,0.6457297,0.000102901766,0.00012271147
7000444000,7000364000,-1.3854406,0.028048145,-1.4200832,-1.320609,-1.4128659,-0.29228845,3.0563703,0.08562793,0.03602486,0.08059698,-0.40260524,0.36034673,1.0267546,1.0367728,1.0278243,0.8728458,0.30119592,0.045528494,0.30429503,0.649596,0.00012704406,0.0004533804
7001444000,7001364000,-1.3938766,0.03231281,-1.4267341,-1.3276051,-1.4194642,-0.28360084,3.040044,0.06970659,0.008984681,0.06419417,-0.52902114,0.48979175,0.996845,1.0045687,0.9977567,0.7518273,0.13633616,0.04582569,0.29976487,0.6523563,0.00017147264,0.0018815435
7002444000,7002364000,-1.4027817,0.047743976,-1.4310297,-1.3317196,-1.4236748,-0.27546686,3.0256588,0.072778955,0.0064365584,0.06712569,-0.5643966,0.6170539,0.9097335,0.912636,0.9102686,0.5778703,0.013519075,0.04581249,0.29623777,0.6510703,0.0002501917,0.006629142
7003444000,7003364000,-1.4087017,0.07100445,-1.430557,-1.3307692,-1.4231123,-0.2679228,3.0173116,0.07044572,0.00576096,0.065061696,-0.544598,0.6241307,0.84364986,0.84487253,0.84402627,0.5001887,-0.017177893,0.045481283,0.29457897,0.6461003,0.0003458628,0.01349371
7004444000,7004364000,-1.4157242,0.098149344,-1.4299262,-1.3297727,-1.4224187,-0.262901,3.01194,0.06896958,0.0053230342,0.063768394,-0.53470826,0.62111044,0.7857711,0.78649336,0.7860853,0.44045088,-0.057470318,0.045078855,0.29274565,0.6402697,0.00043733988,0.02146853
7005444000,7005364000,-1.4233577,0.12781253,-1.4289911,-1.3285978,-1.4212592,-0.2584385,3.0085578,0.06537812,0.0051356144,0.060516946,-0.5083015,0.58343077,0.70571584,0.7067447,0.70602614,0.38040885,-0.09557436,0.044656996,0.29043758,0.6341724,0.00051724055,0.03021581
7006444000,7006364000,-1.430982,0.15532443,-1.428453,-1.327766,-1.4206803,-0.2555176,3.0051272,0.057205625,0.0034615104,0.052900515,-0.45724902,0.5118731,0.6454686,0.6469074,0.64577705,0.3594827,-0.07399385,0.04422609,0.28871882,0.6281124,0.0006026729,0.03834003
