timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho,calibration_count
6975260000,6975236000,6620172,228.56328,13.515132,98609.625,1.1716455,0
6975308000,6975296000,6620172,228.47081,13.515131,98610.72,1.1716585,0
6975380000,6975354666,6620172,228.49458,13.515132,98610.44,1.1716552,0
6975428000,6975416000,6620172,228.47081,13.515131,98610.7,1.1716583,0
6975496000,6975474666,6620172,228.51572,13.515132,98610.19,1.1716522,0
6975548000,6975536000,6620172,228.6029,13.515131,98609.17,1.17164,0
6975620000,6975596000,6620172,228.50516,13.515132,98610.31,1.1716536,0
6975668000,6975656000,6620172,228.51836,13.515131,98610.16,1.1716517,0
6975736000,6975713333,6620172,228.45494,13.515132,98610.91,1.1716607,0
6975764000,6975764000,6620172,228.51836,13.515131,98610.16,1.1716517,0
6975856000,6975823000,6620172,228.47345,13.515131,98610.67,1.1716579,0
6975884000,6975884000,6620172,228.55272,13.515131,98609.75,1.171647,0
6975976000,6975942000,6620172,228.51836,13.515131,98610.16,1.1716517,0
6976004000,6976004000,6620172,228.63197,13.515131,98608.805,1.1716357,0
6976100000,6976064000,6620172,228.48929,13.515131,98610.49,1.1716558,0
6976124000,6976124000,6620172,228.51572,13.515131,98610.195,1.1716522,0
6976220000,6976183000,6620172,228.51308,13.515131,98610.21,1.1716524,0
6976244000,6976244000,6620172,228.38097,13.515131,98611.76,1.1716708,0
6976340000,6976304000,6620172,228.51308,13.515131,98610.234,1.1716527,0
6976360000,6976360000,6620172,228.44966,13.515131,98610.95,1.1716613,0
6976432000,6976410666,6620172,228.50252,13.515132,98610.34,1.171654,0
6976484000,6976470000,6620172,228.48665,13.515131,98610.516,1.171656,0
6976556000,6976530666,6620172,228.51308,13.515132,98610.234,1.1716527,0
6976604000,6976592000,6620172,228.51836,13.515131,98610.17,1.171652,0
6976672000,6976650666,6620172,228.56856,13.515132,98609.56,1.1716448,0
6976724000,6976712000,6620172,228.45494,13.515131,98610.914,1.1716608,0
6976796000,6976772000,6620172,228.55008,13.515132,98609.8,1.1716474,0
6976844000,6976832000,6620172,228.41795,13.515131,98611.32,1.1716655,0
6976916000,6976892000,6620172,228.47081,13.515132,98610.7,1.1716583,0
6976964000,6976952000,6620172,228.61086,13.515131,98609.08,1.171639,0
6977036000,6977012000,6620172,228.46286,13.515132,98610.8,1.1716595,0
6977084000,6977072000,6620172,228.42851,13.515131,98611.21,1.1716644,0
6977156000,6977130666,6620172,228.6637,13.515132,98608.46,1.1716316,0
6977200000,6977188000,6620172,228.56328,13.515131,98609.625,1.1716455,0
6977248000,6977238000,6620172,228.41003,13.515116,98611.42,1.1716669,0
6977324000,6977298666,6620172,228.48665,13.515071,98610.53,1.1716563,0
6977372000,6977360000,6620172,228.5078,13.514963,98610.27,1.1716532,0
6977440000,6977416000,6620172,228.52365,13.514827,98610.08,1.1716509,0
6977488000,6977476000,6620172,228.5395,13.514643,98609.914,1.1716489,0
6977540000,6977528000,6620172,228.60822,13.51446,98609.09,1.1716391,0
6977612000,6977588000,6620172,228.55272,13.514186,98609.74,1.1716468,0
6977656000,6977646000,6620172,228.74295,13.51388,98607.53,1.1716206,0
6977708000,6977696000,6620172,228.70068,13.51359,98608.016,1.1716263,0
6977780000,6977756000,6620172,228.82487,13.513179,98606.56,1.171609,0
6977828000,6977816000,6620172,228.93849,13.512735,98605.23,1.1715932,0
6977896000,6977874666,6620172,228.97812,13.512233,98604.766,1.1715877,0
