timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
6990932000,6990932000,0.8131638,0.109192505,0.08581577,-0.5652233,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6991428000,6991428000,0.8111685,0.10941662,0.08776565,-0.5677419,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6991928000,6991928000,0.8086586,0.107909635,0.08700904,-0.5717135,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6992432000,6992432000,0.80780464,0.10771856,0.088366695,-0.5727475,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6992932000,6992932000,0.8051411,0.10851569,0.08917592,-0.57621175,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6993432000,6993432000,0.8037737,0.1088908,0.08941615,-0.5780099,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6993928000,6993928000,0.80200917,0.10806927,0.089223385,-0.58063895,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6994432000,6994432000,0.799796,0.10748326,0.089927934,-0.58368385,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6994932000,6994932000,0.7986073,0.10156138,0.0855897,-0.5870146,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6995428000,6995428000,0.8017938,0.06687603,0.06103333,-0.59070235,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6995932000,6995932000,0.80443543,0.0074714245,0.018307896,-0.59371096,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6996428000,6996428000,0.804177,-0.021043057,-0.003527458,-0.5940069,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6996932000,6996932000,0.8023242,-0.024852796,-0.00953275,-0.5962948,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6997428000,6997428000,0.80197275,-0.016454045,-0.010221872,-0.59704643,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6997932000,6997932000,0.80101854,-0.010502716,-0.006943134,-0.5985073,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6998428000,6998428000,0.8006641,-0.017228968,7.074161e-05,-0.5988658,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6998928000,6998928000,0.80088615,-0.007109652,-0.0008930679,-0.5987738,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6999432000,6999432000,0.8010541,-0.003343477,0.00039083543,-0.59858257,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6999928000,6999928000,0.80096835,-0.002181236,0.00046471378,-0.59870255,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7000428000,7000428000,0.8010244,-0.0014767685,-0.00036597805,-0.59862983,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7000928000,7000928000,0.80082977,-0.0029220073,0.00016497506,-0.59888506,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7001432000,7001432000,0.800624,-0.0024455828,0.00058020477,-0.5991619,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7001928000,7001928000,0.80041236,-0.0044134078,0.00059225265,-0.5994333,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7002432000,7002432000,0.800385,-0.0066294814,5.953245e-05,-0.5994497,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7002928000,7002928000,0.800502,-0.0071786083,-0.0016030931,-0.59928507,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7003428000,7003428000,0.8004463,-0.0069784466,-0.00045376163,-0.59936374,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
