timestamp,timestamp_sample,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
6970972000,6970892000,6.7940775e-05,0.0057211863,0.0014591045,67109399,0,0.08514597,0.102744505,0.014483321,0.015654556,0.002334394,0.0053269444,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
6970980000,6970900000,6.7924055e-05,0.005578374,0.001467466,67109399,0,0.08514614,0.10274458,0.014483321,0.015654556,0.002334394,0.0053269444,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
6971172000,6971092000,0.00017939764,0.004105074,0.0015333958,67109399,0,0.085001074,0.102615684,0.017793128,0.0065768803,0.0004200481,0.002588521,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
6971372000,6971292000,9.741836e-05,0.004347897,0.0014915108,67109399,0,0.084857,0.10244347,0.002416837,0.012621884,0.0012432786,0.0028273314,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
6971572000,6971492000,4.3071144e-05,0.003047069,0.0013298737,67109399,0,0.08471378,0.10231586,0.0111714,0.001117904,0.00042112422,0.00027366925,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
6971772000,6971692000,0.00014706851,0.0029830912,0.00076799,67109399,0,0.084722936,0.10214522,0.022256315,0.001117904,0.00042112422,0.0040701823,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
6971972000,6971892000,0.00014208659,0.0017725286,0.00071157486,67109399,0,0.08458047,0.10201876,0.03164367,0.013008022,0.0003784785,0.00497138,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
6972172000,6972092000,0.00015898164,0.0017759604,0.00072499766,67109399,0,0.08446111,0.1018597,0.0119416,0.022037018,0.0024026735,0.0022529864,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
6972372000,6972292000,7.222603e-05,0.0019469679,0.0009336543,67109399,0,0.08431647,0.10173276,0.009301911,0.007971051,0.00241191,0.0032814327,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
6972572000,6972492000,0.00010255881,0.000956048,0.00025621927,67109399,0,0.08417292,0.10156365,0.01057594,0.013374786,0.00041508905,0.0018451002,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
6972772000,6972692000,0.00017723916,0.0015215293,0.000495754,67109399,0,0.084030405,0.1014381,0.00985595,0.004774303,0.0012684555,0.007944311,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
6972972000,6972892000,9.627831e-05,0.0018248188,0.0006265409,67109399,0,0.0840368,0.10131314,0.024168838,0.004774303,0.0012684555,0.0018939117,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
6973172000,6973092000,3.5371e-05,0.0036054214,0.0010187718,67109399,0,0.08389559,0.10114651,0.0052245213,0.0071710744,0.0024155788,0.00038261776,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
6973372000,6973292000,9.2445436e-05,0.003510054,0.0013871331,67109399,0,0.08375537,0.101022884,0.0102252755,0.005236866,0.002352868,0.00010023027,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
6973572000,6973492000,0.00011568969,0.0024909095,0.0011599378,67109399,0,0.08361612,0.10085793,0.00040423384,0.007956832,0.001294537,0.0031916846,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
6973772000,6973692000,7.731204e-05,0.0017928607,0.00053990836,67109399,0,0.08347782,0.10073559,0.012232129,0.0072841193,0.002382824,0.0040484406,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
6973972000,6973892000,6.086727e-05,0.002194213,0.00059552956,67109399,0,0.08334045,0.10057226,0.011680839,0.0075518335,0.00029657688,0.0021501651,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
