timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
6971696000,6971696000,1310988,-0.107739076,0.023942016,-9.215282,13.515131,0,0,0,0,1
6972696000,6972696000,1310988,-0.10295067,-0.011971008,-9.6845455,13.515131,0,0,0,0,1
6973696000,6973696000,1310988,-0.1316811,-0.074220255,-9.919178,13.515131,0,0,0,0,1
6974696000,6974696000,1310988,-0.07182605,-0.10295067,-9.78989,13.515131,0,0,0,0,1
6975696000,6975696000,1310988,-0.076614454,0.02633622,-9.782708,13.515131,0,0,0,0,1
6976696000,6976696000,1310988,-0.1340753,-0.22984336,-8.616732,13.515131,0,0,0,0,1
6977696000,6977696000,1310988,0.07182605,-0.110133275,-11.887212,13.513666,0,0,0,0,1
6978696000,6978696000,1310988,-0.1388637,-0.0023942017,-9.074024,13.505365,0,0,0,0,1
6979696000,6979696000,1310988,-0.15083471,0.0047884034,-9.41879,13.501825,0,0,0,0,1
6980696000,6980696000,1310988,-0.035913024,-0.05746084,-9.679757,13.500788,0,0,0,0,1
6981696000,6981696000,1310988,0.39983168,-0.25617957,-10.424355,13.500147,0,0,0,0,1
6982696000,6982696000,1310988,1.7381904,-1.0654198,-9.861717,13.496332,0,0,0,0,1
6983696000,6983696000,1310988,2.4253263,-1.1971009,-9.3661175,13.49151,0,0,0,0,1
6984696000,6984696000,1310988,2.657564,-1.0582372,-9.423578,13.486811,0,0,0,0,1
6985696000,6985696000,1310988,2.554613,-1.1827357,-9.52174,13.482111,0,0,0,0,1
6986696000,6986696000,1310988,2.6623523,-1.2042835,-9.334992,13.477472,0,0,0,0,1
6987696000,6987696000,1310988,2.6048915,-0.9672575,-9.320627,13.472712,0,0,0,0,1
6988696000,6988696000,1310988,2.5306711,-0.9504981,-9.457097,13.468103,0,0,0,0,1
6989696000,6989696000,1310988,2.6048915,-0.878672,-9.313444,13.463648,0,0,0,0,1
6990696000,6990696000,1310988,2.7485435,-1.0319009,-9.28232,13.45907,0,0,0,0,1
6991696000,6991696000,1310988,2.60968,-0.90740246,-9.40203,13.454432,0,0,0,0,1
6992696000,6992696000,1310988,2.6743233,-0.830788,-9.3182335,13.449762,0,0,0,0,1
6993696000,6993696000,1310988,2.7126305,-0.80684596,-9.263166,13.445124,0,0,0,0,1
6994696000,6994696000,1310988,2.6551697,-0.92176765,-9.3421755,13.440485,0,0,0,0,1
6995696000,6995696000,1310988,2.1930888,-0.60094464,-9.169792,13.436121,0,0,0,0,1
6996696000,6996696000,1310988,0.6895301,-0.059855044,-9.627085,13.4335575,0,0,0,0,1
6997696000,6997696000,1310988,-0.050278235,-0.05267244,-9.701305,13.432764,0,0,0,0,1
6998696000,6998696000,1310988,-0.16519992,0.07182605,-9.715671,13.432795,0,0,0,0,1
6999696000,6999696000,1310988,-0.10295067,-0.04309563,-9.80665,13.4331,0,0,0,0,1
7000696000,7000696000,1310988,0.05746084,-0.20111294,-9.957485,13.433252,0,0,0,0,1
7001696000,7001696000,1310988,0.019153614,-0.12689269,-9.715671,13.433344,0,0,0,0,1
7002696000,7002696000,1310988,0.023942016,-0.016759412,-9.691729,13.433466,0,0,0,0,1
7003696000,7003696000,1310988,-0.07182605,-0.038307227,-9.720459,13.433527,0,0,0,0,1
7004696000,7004696000,1310988,-0.08379706,-0.088585466,-9.9550905,13.433527,0,0,0,0,1
7005696000,7005696000,1310988,-0.0023942017,-0.090979666,-9.579201,13.433588,0,0,0,0,1
7006696000,7006696000,1310988,-0.062249243,-0.019153614,-9.76116,13.43371,0,0,0,0,1
7007696000,7007696000,1310988,-0.050278235,-0.021547815,-9.890448,13.433893,0,0,0,0,1
7008696000,7008696000,1310988,-0.076614454,-0.07182605,-9.849746,13.433924,0,0,0,0,1
7009696000,7009696000,1310988,0.02873042,0.0,-9.909601,13.433771,0,0,0,0,1
7010696000,7010696000,1310988,-0.035913024,0.23942018,-9.552865,13.43371,0,0,0,0,1
7011696000,7011696000,1310988,-0.04070143,-0.02873042,-9.811439,13.433741,0,0,0,0,1
7012696000,7012696000,1310988,-0.031124622,0.0,-9.821015,13.43368,0,0,0,0,1
7013696000,7013696000,1310988,0.05267244,0.02633622,-9.837775,13.433893,0,0,0,0,1
7014696000,7014696000,1310988,-0.29688102,-0.79008657,-10.189722,13.434015,0,0,0,0,1
7015696000,7015696000,1310988,-0.6344634,-2.2122424,-9.765948,13.433466,0,0,0,0,1
7016696000,7016696000,1310988,-0.80445176,-2.7485435,-9.323022,13.432978,0,0,0,0,1
7017696000,7017696000,1310988,-0.7038953,-2.9999347,-9.3661175,13.432795,0,0,0,0,1
7018696000,7018696000,1310988,-0.59855044,-3.0430303,-9.272743,13.4326725,0,0,0,0,1
7019696000,7019696000,1310988,-0.40940848,-3.2561142,-7.9511437,13.432459,0,0,0,0,1
7020696000,7020696000,1310988,-0.25617957,-2.4516625,-9.301474,13.432337,0,0,0,0,1
7021696000,7021696000,1310988,0.016759412,-0.78290397,-9.859323,13.43252,0,0,0,0,1
7022696000,7022696000,1310988,0.021547815,0.055066638,-9.883265,13.432611,0,0,0,0,1
7023696000,7023696000,1310988,0.05746084,-0.1388637,-8.48984,13.432917,0,0,0,0,1
7024696000,7024696000,1310988,-0.7685388,0.59615624,-9.660604,13.434412,0,0,0,0,1
7025696000,7025696000,1310988,-2.4061728,1.2042835,-9.215282,13.437799,0,0,0,0,1
7026696000,7026696000,1310988,-3.0430303,1.2808979,-9.174581,13.442377,0,0,0,0,1
