timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
6971432000,6971432000,0.86452335,-0.0066518374,-0.0032086954,-0.5025385,0.9999886,-1.1960397e-10,-1.1314852e-10,0.004779037,4
6971936000,6971936000,0.864651,-0.006486396,-0.003320007,-0.5023201,0.9999886,-1.1960397e-10,-1.1314852e-10,0.004779037,4
6972436000,6972436000,0.86473787,-0.006671156,-0.0033784257,-0.5021679,0.9999886,-1.1960397e-10,-1.1314852e-10,0.004779037,4
6972936000,6972936000,0.86484194,-0.0066937846,-0.003361055,-0.50198835,0.9999886,-1.1960397e-10,-1.1314852e-10,0.004779037,4
6973436000,6973436000,0.86485523,-0.0068158787,-0.0033286484,-0.50196403,0.9999886,-1.1960397e-10,-1.1314852e-10,0.004779037,4
6973936000,6973936000,0.8648565,-0.006860036,-0.0035075857,-0.50196034,0.9999886,-1.1960397e-10,-1.1314852e-10,0.004779037,4
6974432000,6974432000,0.8648459,-0.006482876,-0.0035954148,-0.5019828,0.9999886,-1.1960397e-10,-1.1314852e-10,0.004779037,4
6974932000,6974932000,0.86491436,-0.0067525324,-0.0032999024,-0.50186324,0.9999886,-1.1960397e-10,-1.1314852e-10,0.004779037,4
6975436000,6975436000,0.8649578,-0.0067795063,-0.0033153766,-0.50178796,0.9999886,-1.1960397e-10,-1.1314852e-10,0.004779037,4
6975932000,6975932000,0.8648487,-0.00680051,-0.003501116,-0.5019744,0.9999886,-1.1960397e-10,-1.1314852e-10,0.004779037,4
6976436000,6976436000,0.86495984,-0.006617409,-0.0036620942,-0.5017842,0.9999886,-1.1960397e-10,-1.1314852e-10,0.004779037,4
6976932000,6976932000,0.86487997,-0.0062744603,-0.0031997361,-0.50192946,0.9999886,-1.1960397e-10,-1.1314852e-10,0.004779037,4
6977436000,6977436000,0.86330247,0.002351391,0.0021494657,-0.50467694,0.9999886,-1.1960397e-10,-1.1314852e-10,0.004779037,4
6977936000,6977936000,0.86343175,-0.005659065,-0.0038422607,-0.5044192,0.9999886,-1.1960397e-10,-1.1314852e-10,0.004779037,4
6978436000,6978436000,0.8636243,-0.0069175423,-0.0032746326,-0.50407803,0.9999886,-1.1960397e-10,-1.1314852e-10,0.004779037,4
6978936000,6978936000,0.865814,-0.006730195,-0.0018943688,-0.50031734,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6979436000,6979436000,0.8655755,-0.0062234364,-0.0010948613,-0.5007388,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6979936000,6979936000,0.86579084,-0.0067881355,-0.0012094246,-0.5003587,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6980436000,6980436000,0.86590225,-0.0071649333,-0.0014630321,-0.50015974,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6980932000,6980932000,0.86570984,-0.0042665335,0.001299259,-0.5005265,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6981432000,6981432000,0.8645497,0.02912469,0.021228377,-0.5012533,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6981936000,6981936000,0.85773677,0.09329956,0.06031949,-0.5019406,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6982436000,6982436000,0.8505295,0.12387106,0.07970409,-0.5048791,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6982936000,6982936000,0.84680027,0.12678836,0.0853033,-0.50948733,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6983436000,6983436000,0.84523004,0.1215511,0.086984694,-0.5130743,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6983936000,6983936000,0.84459627,0.11748168,0.08768992,-0.5149425,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6984432000,6984432000,0.8429713,0.11603493,0.08626995,-0.51816285,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6984936000,6984936000,0.8411207,0.115985245,0.085905984,-0.5212328,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6985436000,6985436000,0.83891404,0.11216585,0.08348758,-0.52599627,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6985932000,6985932000,0.83745456,0.11109999,0.082069434,-0.52876407,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6986436000,6986436000,0.83439165,0.112228654,0.08251607,-0.53327894,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6986936000,6986936000,0.8317494,0.11291778,0.08310818,-0.53715515,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6987432000,6987432000,0.8293132,0.11231065,0.0845649,-0.5408094,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6987936000,6987936000,0.8268168,0.11049215,0.0826085,-0.5452902,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6988436000,6988436000,0.824633,0.111151576,0.08237879,-0.5484883,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6988936000,6988936000,0.82153165,0.11165463,0.084706165,-0.55266976,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6989436000,6989436000,0.8196707,0.11104914,0.084708184,-0.55554736,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6989932000,6989932000,0.8166802,0.1112737,0.08565799,-0.559745,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6990436000,6990436000,0.81612885,0.10929966,0.08567239,-0.56093454,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6990936000,6990936000,0.8131806,0.10922167,0.08584578,-0.5651889,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6991432000,6991432000,0.8111857,0.10947054,0.08778452,-0.56770414,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6991932000,6991932000,0.8086808,0.107908376,0.086986095,-0.57168585,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6992436000,6992436000,0.8078334,0.107715346,0.08838287,-0.5727052,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6992936000,6992936000,0.80515933,0.10853483,0.08919217,-0.5761801,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
6993432000,6993432000,0.80381244,0.10890979,0.08942664,-0.5779509,0.99999523,-4.5479864e-10,1.3260545e-09,0.0030855394,5
