timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
6983496000,6983496000,0.431701,7.754412e-06,0.29906166,1.0037227,0.009900684,1.0,1
6983592000,6983592000,0.43129975,7.427553e-06,0.24519639,1.0036414,0.0066559045,1.0,1
6983696000,6983696000,0.43080693,7.104311e-06,0.25645086,1.0034423,0.007282381,1.0,1
6983792000,6983792000,0.43049118,6.828848e-06,0.16091645,1.0033809,0.0028674281,1.0,1
6983896000,6983896000,0.43014836,6.5533523e-06,0.15278718,1.0032151,0.0025854567,1.0,1
6983992000,6983992000,0.4297986,6.3171474e-06,0.10250491,1.0031549,0.0011638013,1.0,1
6984088000,6984088000,0.42949536,6.0973475e-06,-0.04784614,1.0030276,0.00025359367,1.0,1
6984192000,6984192000,0.42923388,5.87576e-06,0.0738915,1.0029554,0.0006048738,1.0,1
6984296000,6984296000,0.4290581,5.6698755e-06,0.23882374,1.0028318,0.0063195247,1.0,1
6984392000,6984392000,0.4288407,5.4916645e-06,0.11433099,1.0027866,0.0014483613,1.0,1
6984496000,6984496000,0.4286021,5.3112635e-06,0.296563,1.002667,0.009746187,1.0,1
6984592000,6984592000,0.42845812,5.15454e-06,0.01168219,1.0026385,1.51238255e-05,1.0,1
6984688000,6984688000,0.42830256,5.006906e-06,0.07289412,1.0025446,0.0005888962,1.0,1
6984792000,6984792000,0.42813176,4.855548e-06,0.69288194,1.0025039,0.053209588,1.0,1
6984888000,6984888000,0.42799702,4.7243034e-06,0.20736271,1.0024042,0.0047662403,1.0,1
6984992000,6984992000,0.4279309,4.5906054e-06,0.15338072,1.002365,0.0026077933,1.0,1
6985088000,6985088000,0.42783162,4.4739363e-06,0.0678351,1.0022862,0.00051012274,1.0,1
6985192000,6985192000,0.42778966,4.3539e-06,0.12058662,1.0022565,0.0016120438,1.0,1
6985288000,6985288000,0.42772347,4.2495753e-06,0.04373759,1.0021863,0.0002120893,1.0,1
6985392000,6985392000,0.42770973,4.141495e-06,0.04747637,1.0021611,0.00024990502,1.0,1
6985488000,6985488000,0.42763454,4.047364e-06,0.008355983,1.0020899,7.741871e-06,1.0,1
6985592000,6985592000,0.42754105,3.950167e-06,0.04955588,1.0020556,0.00027230525,1.0,1
6985688000,6985688000,0.42753825,3.8651883e-06,-0.1606017,1.0019966,0.0028601678,1.0,1
6985792000,6985792000,0.42753935,3.77719e-06,-0.013685273,1.0019804,2.0768503e-05,1.0,1
6985888000,6985888000,0.42756152,3.6995755e-06,0.06787181,1.0019337,0.00051085465,1.0,1
6985992000,6985992000,0.4274851,3.6191316e-06,-0.02025442,1.0019089,4.5495544e-05,1.0,1
6986088000,6986088000,0.4274728,3.5482387e-06,0.042561058,1.0018581,0.00020089824,1.0,1
6986192000,6986192000,0.42744735,3.4747789e-06,-0.05869866,1.0018394,0.00038213408,1.0,1
6986288000,6986288000,0.42744172,3.4099833e-06,0.016153479,1.0017853,2.8941096e-05,1.0,1
6986392000,6986392000,0.42741355,3.3429512e-06,-0.16587378,1.00176,0.0030517522,1.0,1
6986488000,6986488000,0.42742845,3.2837927e-06,0.029980283,1.0017171,9.969741e-05,1.0,1
6986592000,6986592000,0.42746714,3.2225023e-06,0.054090887,1.0017116,0.0003245361,1.0,1
6986688000,6986688000,0.42744422,3.168059e-06,-0.07553563,1.0016602,0.0006329083,1.0,1
6986792000,6986792000,0.42745584,3.1114082e-06,0.04446485,1.001646,0.0002193193,1.0,1
6986888000,6986888000,0.4274404,3.0614262e-06,0.04100593,1.0015974,0.00018653386,1.0,1
6986992000,6986992000,0.4274455,3.00956e-06,-0.071153864,1.0015821,0.00056165276,1.0,1
6987096000,6987096000,0.42744738,2.9598095e-06,-0.11823312,1.0015343,0.0015508506,1.0,1
6987192000,6987192000,0.4274618,2.915395e-06,-0.0656152,1.0015377,0.00047763827,1.0,1
6987288000,6987288000,0.42749342,2.872681e-06,0.11459112,1.0015036,0.0014568233,1.0,1
6987392000,6987392000,0.42748988,2.828066e-06,-0.027641794,1.0014927,8.476999e-05,1.0,1
6987488000,6987488000,0.4274947,2.7883843e-06,0.08017528,1.0014576,0.0007131911,1.0,1
6987592000,6987592000,0.42749703,2.746975e-06,-0.07787367,1.0014489,0.0006728372,1.0,1
6987688000,6987688000,0.4275115,2.7101903e-06,-0.12694314,1.0014141,0.0017879785,1.0,1
6987792000,6987792000,0.42751583,2.6717873e-06,0.35152906,1.0014114,0.013710946,1.0,1
6987888000,6987888000,0.4275544,2.6373837e-06,0.03982641,1.00138,0.00017599524,1.0,1
6987992000,6987992000,0.42755455,2.6015357e-06,0.007810835,1.0013764,6.7694764e-06,1.0,1
6988088000,6988088000,0.4275709,2.569454e-06,-0.0856014,1.001348,0.00081308157,1.0,1
6988192000,6988192000,0.42760107,2.5357601e-06,0.11218302,1.0013496,0.0013964521,1.0,1
6988296000,6988296000,0.42763168,2.503076e-06,-0.029842496,1.001314,9.8822864e-05,1.0,1
6988392000,6988392000,0.4276313,2.4738845e-06,-0.07278158,1.0013154,0.00058779994,1.0,1
6988496000,6988496000,0.4276133,2.4432836e-06,0.5668011,1.001283,0.0356502,1.0,1
6988592000,6988592000,0.42762288,2.4159026e-06,0.05284295,1.0012867,0.00030986543,1.0,1
6988688000,6988688000,0.42764738,2.389389e-06,-0.7187507,1.0012556,0.057328302,1.0,1
6988792000,6988792000,0.4276231,2.3615926e-06,-0.07495884,1.0012547,0.0006235318,1.0,1
6988888000,6988888000,0.42763427,2.336711e-06,0.07927046,1.0012301,0.0006973428,1.0,1
6988992000,6988992000,0.4276485,2.3106304e-06,-0.055728406,1.0012283,0.00034464948,1.0,1
6989088000,6989088000,0.4276699,2.2871939e-06,0.012070451,1.0012041,1.616895e-05,1.0,1
6989192000,6989192000,0.42767152,2.262642e-06,-0.04598054,1.0012015,0.00023463031,1.0,1
