timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
6970940000,6970921000,197388,0.118039206,0.15696274,0.4858746,0
6971036000,6970992500,197388,0.1184165,0.1553023,0.48802358,0
6971072000,6971060000,197388,0.11678694,0.15577322,0.48869014,0
6971180000,6971130666,197388,0.121058,0.15803057,0.4883497,0
6971204000,6971198000,197388,0.11957979,0.15897483,0.48946524,0
6971320000,6971267600,197388,0.116541125,0.15717134,0.48648563,0
6971344000,6971338000,197388,0.12116,0.15390038,0.48803896,0
6971456000,6971407111,197388,0.118380405,0.15700313,0.48925638,0
6971480000,6971474000,197388,0.11730685,0.15519287,0.48933548,0
6971600000,6971544000,197388,0.11892865,0.15846221,0.48974714,0
6971624000,6971616000,197388,0.11781913,0.15261148,0.49041563,0
6971728000,6971683111,197388,0.122594796,0.15747555,0.48711115,0
6971768000,6971754666,197388,0.117081106,0.1571298,0.49091876,0
6971872000,6971826222,197388,0.1201937,0.15776047,0.48683771,0
6971900000,6971894000,197388,0.12396184,0.1602205,0.49028766,0
6972016000,6971962800,197388,0.12038399,0.15812792,0.48671103,0
6972040000,6972034000,197388,0.118672624,0.15902688,0.48964673,0
6972148000,6972103111,197388,0.119887926,0.1579953,0.48689663,0
6972188000,6972174666,197388,0.121344045,0.15727103,0.48758635,0
6972296000,6972246666,197388,0.118014656,0.15616019,0.4883305,0
6972332000,6972318666,197388,0.11843279,0.15537427,0.48918396,0
6972440000,6972390222,197388,0.12103253,0.15788195,0.48734692,0
6972464000,6972458000,197388,0.11679493,0.15707743,0.48381883,0
6972584000,6972528000,197388,0.12219148,0.15790324,0.48779374,0
6972604000,6972598000,197388,0.12188804,0.15638965,0.48855448,0
6972716000,6972667555,197388,0.11820234,0.15744527,0.48764765,0
6972752000,6972738666,197388,0.11625009,0.15882337,0.48506302,0
6972856000,6972810222,197388,0.12083308,0.1570499,0.48799145,0
6972892000,6972881333,197388,0.11907701,0.15535295,0.48771173,0
6973000000,6972953333,197388,0.11930088,0.15744068,0.48891217,0
6973024000,6973020000,197388,0.11892015,0.16243389,0.48128933,0
6973148000,6973092400,197388,0.1184858,0.15493968,0.4882627,0
6973160000,6973160000,197388,0.12181806,0.15075032,0.48835412,0
6973292000,6973230909,197388,0.11904538,0.15521729,0.48966137,0
6973300000,6973300000,197388,0.12278387,0.1580513,0.48505566,0
6973424000,6973369200,197388,0.12033198,0.1564209,0.4871343,0
6973436000,6973436000,197388,0.11494249,0.15369537,0.4865793,0
6973568000,6973506909,197388,0.11896461,0.16012113,0.48704427,0
6973576000,6973576000,197388,0.11569805,0.15126817,0.4910988,0
6973700000,6973645600,197388,0.11905966,0.15619715,0.48855433,0
6973724000,6973718000,197388,0.12021993,0.16288155,0.49074095,0
6973840000,6973788400,197388,0.11796003,0.1566321,0.48841056,0
6973856000,6973856000,197388,0.11441145,0.1543531,0.4833727,0
6973984000,6973926909,197388,0.12006249,0.15783772,0.48951405,0
6974000000,6974000000,197388,0.117823936,0.15078188,0.48875487,0
6974128000,6974069090,197388,0.11919342,0.1558372,0.48662814,0
6974144000,6974144000,197388,0.12124622,0.15860726,0.48854983,0
6974276000,6974215272,197388,0.12001852,0.15612969,0.48689795,0
6974288000,6974288000,197388,0.11965012,0.15761866,0.4898711,0
6974420000,6974359272,197388,0.11885895,0.15735465,0.48691776,0
6974432000,6974432000,197388,0.11600776,0.15245557,0.48701778,0
6974564000,6974503272,197388,0.12141248,0.15663792,0.48900658,0
6974576000,6974576000,197388,0.11900606,0.15779522,0.48925468,0
6974704000,6974646545,197388,0.119409434,0.15781425,0.488403,0
6974720000,6974720000,197388,0.122861795,0.15467584,0.48708925,0
6974848000,6974791272,197388,0.11893038,0.1568942,0.49025434,0
6974864000,6974864000,197388,0.11937922,0.16104637,0.48638284,0
6974996000,6974935636,197388,0.119718075,0.15543705,0.4867522,0
6975004000,6975004000,197388,0.12378284,0.15759578,0.49455756,0
6975128000,6975072800,197388,0.12039139,0.15795797,0.48629937,0
6975140000,6975140000,197388,0.11315078,0.15996537,0.48755914,0
6975272000,6975211636,197388,0.11836669,0.15745166,0.4864788,0
6975284000,6975284000,197388,0.11423637,0.15900114,0.4809904,0
6975416000,6975354909,197388,0.11926133,0.15690926,0.4880918,0
6975424000,6975424000,197388,0.11740532,0.15237945,0.48683262,0
6975544000,6975493200,197388,0.11897983,0.1568128,0.48868242,0
6975560000,6975560000,197388,0.11647081,0.15818264,0.48665687,0
6975692000,6975631636,197388,0.122077,0.15874314,0.48914966,0
6975704000,6975704000,197388,0.119387805,0.16379574,0.48779982,0
6975832000,6975774181,197388,0.121073626,0.15701906,0.48781952,0
6975848000,6975848000,197388,0.11768464,0.15133911,0.4880743,0
6975976000,6975917818,197388,0.118408486,0.15746722,0.4881663,0
6975992000,6975992000,197388,0.116329506,0.15131538,0.49046946,0
6976124000,6976063272,197388,0.11986579,0.15784027,0.48796222,0
6976136000,6976136000,197388,0.12067926,0.16060589,0.48941132,0
6976268000,6976207636,197388,0.11987337,0.15625505,0.4884209,0
6976280000,6976280000,197388,0.117016636,0.1604379,0.48804164,0
6976412000,6976350909,197388,0.11938683,0.15748252,0.48888338,0
6976424000,6976424000,197388,0.11661805,0.15970634,0.4900683,0
6976556000,6976493818,197388,0.12039616,0.15965681,0.48911396,0
6976568000,6976568000,197388,0.120415226,0.16592132,0.48605078,0
6976700000,6976638545,197388,0.119697064,0.15707704,0.48906294,0
6976712000,6976712000,197388,0.117988035,0.15452856,0.48908603,0
6976844000,6976783272,197388,0.11835003,0.15751375,0.48968083,0
6976856000,6976856000,197388,0.12657158,0.1617554,0.49123666,0
6976984000,6976926181,197388,0.11870889,0.15746492,0.48693165,0
6977000000,6977000000,197388,0.12017585,0.15611333,0.48741886,0
6977132000,6977070545,197388,0.11650789,0.15790777,0.48986602,0
6977144000,6977144000,197388,0.10158576,0.16514474,0.48538986,0
6977276000,6977214909,197388,0.10835184,0.15571825,0.4898398,0
6977284000,6977284000,197388,0.1060613,0.16222373,0.49102083,0
6977408000,6977353200,197388,0.104841344,0.16285837,0.4881157,0
6977432000,6977424000,197388,0.10842064,0.16179265,0.4873395,0
6977552000,6977495600,197388,0.11050516,0.16152571,0.4875432,0
6977564000,6977564000,197388,0.11436387,0.16239494,0.48985645,0
6977696000,6977635636,197388,0.115651965,0.16048141,0.48647088,0
6977708000,6977708000,197388,0.11043536,0.15912339,0.48823097,0
6977840000,6977778909,197388,0.11782526,0.15807976,0.48766655,0
