timestamp,main_state_changes,main_state
6970972000,5,11
6971416000,5,11
6971920000,5,11
6972424000,5,11
6972928000,5,11
6973336000,6,7
6973840000,6,7
6974356000,6,7
6974864000,6,7
6975356000,6,7
6975860000,6,7
6976364000,6,7
6976868000,6,7
6977372000,6,7
6977876000,6,7
6978380000,6,7
6978884000,6,7
6979388000,6,7
6979892000,6,7
6980312000,6,7
6980360000,6,7
6980480000,6,7
6980984000,6,7
6981488000,6,7
6981992000,6,7
6982496000,6,7
6983000000,6,7
6983504000,6,7
6984008000,6,7
6984512000,6,7
6985016000,6,7
6985520000,6,7
6986024000,6,7
6986528000,6,7
6987032000,6,7
6987536000,6,7
6988040000,6,7
6988544000,6,7
6989048000,6,7
6989552000,6,7
6990056000,6,7
6990560000,6,7
6991064000,6,7
6991568000,6,7
6992072000,6,7
6992576000,6,7
6993080000,6,7
6993584000,6,7
6994088000,6,7
6994592000,6,7
6995096000,6,7
6995600000,6,7
6996104000,6,7
6996608000,6,7
6997112000,6,7
6997616000,6,7
6998000000,6,7
6998504000,6,7
6999008000,6,7
6999512000,6,7
7000016000,6,7
7000520000,6,7
7001024000,6,7
7001528000,6,7
7002032000,6,7
7002536000,6,7
7003040000,6,7
7003544000,6,7
7004048000,6,7
7004552000,6,7
7005056000,6,7
7005560000,6,7
7006064000,6,7
7006568000,6,7
7007072000,6,7
7007576000,6,7
7008080000,6,7
7008584000,6,7
7009088000,6,7
7009592000,6,7
7010096000,6,7
7010600000,6,7
7011104000,6,7
7011612000,6,7
7012116000,6,7
7012620000,6,7
7013028000,6,7
7013064000,6,7
7013340000,6,7
7013844000,6,7
7014348000,6,7
7014852000,6,7
7015356000,6,7
7015860000,6,7
7016364000,6,7
7016868000,6,7
7017372000,6,7
7017876000,6,7
7018380000,6,7
7018884000,6,7
7019388000,6,7
7019892000,6,7
7020396000,6,7
7020900000,6,7
7021404000,6,7
7021908000,6,7
7022412000,6,7
7022916000,6,7
7022988000,6,7
7023024000,6,7
7023348000,6,7
7023852000,6,7
7024356000,6,7
7024860000,6,7
7025364000,6,7
7025868000,6,7
7026372000,6,7
7026876000,6,7
7027380000,6,7
7027884000,6,7
7028388000,6,7
7028892000,6,7
7029396000,6,7
7029900000,6,7
7030404000,6,7
7030908000,6,7
7031412000,6,7
7031916000,6,7
7032420000,6,7
7032924000,6,7
7033428000,6,7
7033932000,6,7
7034436000,6,7
7034940000,6,7
7035444000,6,7
7035948000,6,7
7036452000,6,7
7036956000,6,7
7037460000,6,7
7037964000,6,7
7038468000,6,7
7038972000,6,7
7039476000,6,7
7039980000,6,7
7040484000,6,7
7040916000,7,11
7041420000,7,11
7041888000,7,11
7042392000,7,11
7042896000,7,11
7043400000,7,11
7043904000,7,11
7044408000,7,11
7044912000,7,11
7045416000,7,11
7045920000,7,11
7046424000,7,11
7046928000,7,11
7047432000,7,11
7047936000,7,11
7048008000,7,11
7048512000,7,11
